[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.91545787367527 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=58.72588748330029 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=58.25463459788252 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=55.95556105494625 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=51.876707197179734 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=48.57564936388915 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=45.67492771966709 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=43.780765636531534 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=39.15974219699795 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=36.499222266216975 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=34.99853346605161 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=32.12983871695502 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=19.66680124241099 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=12.318916446479374 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=12.172507783048609 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=11.566284411030589 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=10.310372595038542 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=7.121408894687148 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=5.709937873799911 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=4.80403426882204 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.5115202869723006 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=62.08413620074351 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=56.02647775129552 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=48.36518691020743 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=45.10073124277454 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=43.89972267556903 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=43.46964722674115 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=33.9164819378836 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=32.15042743524997 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=29.615727449604826 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=23.718203475784243 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=17.816104231231453 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=14.270269413767567 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=13.26599748804715 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=10.470507070665942 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=5.744252404291497 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=5.003058545673239 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.45564316508802 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=57.40134660632507 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=53.49635303638258 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=43.773902730433214 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=42.86571149008923 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=41.216326391127 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=31.988005324256473 for stop_idx=7, stops_count=9
