[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.974999999999994 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=58.80499999999999 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=56.43833333333333 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=54.389999999999986 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=49.11666666666666 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=48.138333333333335 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=46.20333333333333 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=45.80833333333334 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=44.88166666666666 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=43.504999999999995 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=42.035 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=40.648333333333326 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=35.660000000000004 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=33.60666666666667 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=28.068333333333335 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=24.03333333333333 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=23.763333333333335 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=21.759999999999998 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=19.93333333333333 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=18.625 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=11.693333333333333 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=7.315 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=5.258333333333334 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=4.308333333333334 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=59.68833333333333 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=58.82833333333333 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=57.61 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=53.336666666666666 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=50.12833333333333 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=48.00333333333334 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=45.958333333333336 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=44.92666666666667 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=39.72166666666667 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=36.88 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=36.36 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=35.045 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=33.72333333333333 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=31.531666666666666 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=30.253333333333334 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=28.668333333333333 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=25.855 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=25.583333333333332 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=24.83 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=21.536666666666665 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=20.47 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=17.41 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=16.133333333333333 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=12.318333333333335 for stop_idx=24, stops_count=6
