[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=56.143147154966904 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=55.09312252192438 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=49.97339457257975 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=42.92290237424188 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=38.39567198471863 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=37.01851549432298 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=34.170409463521345 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=30.686340800942315 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=29.579125283747143 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=28.435307600694276 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=24.203182173398663 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=23.91036484653713 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=18.742596554504278 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=9.079624768073657 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=5.504050690850395 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=3.5824369833215792 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=2.83666785397111 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=57.508865468532036 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=56.07909336471595 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=53.51694175467753 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=52.5058069228588 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=51.42375539469079 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=47.896221660155746 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=38.10742992858931 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=36.59987822232563 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=34.371721375738645 for stop_idx=9, stops_count=11
