[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.90432304185653 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.23953118535514 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=53.24013787537873 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=49.44495080300932 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=48.34917346264468 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=43.32552619867649 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=42.453937124190205 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=41.31011944113734 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=39.676747789737846 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=36.19267912715881 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=33.39032580367929 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=31.933102075469936 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=25.64210481867917 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=19.78118301071628 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=17.003993676263917 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=16.551041873774984 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=8.127968455773672 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=3.2118400540124505 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=56.65557747697459 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=52.96104636071383 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=48.1981895284817 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=43.87227105117576 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=43.12192665109308 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=38.00677397248065 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=37.20152632361144 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=27.765030438425285 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=26.225451837036125 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=24.50515004172462 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=15.853313087112733 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=8.9377913753751 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=72.52719164701618 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=65.92965125116724 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=49.46096425057207 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=46.30860271607836 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=44.11018512925076 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=42.57518179859381 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=41.360447419191665 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=38.11886810541984 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=35.048861444105945 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=27.643785764021683 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=8.30640401432992 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=6.341325234845094 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=2.289923001471839 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=58.812817627212304 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=56.99414751115825 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=51.842392666688134 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=49.66913906888769 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=45.93571815140314 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=34.1932858171824 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=29.34121120567214 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=18.955346643552108 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=13.044096857534893 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=10.923458873154878 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=9.873434240112346 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=62.64003159470718 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=61.740990895827636 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=56.88662864895127 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=53.89440159008497 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=47.010906773472826 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=41.2529285569847 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=35.64822191002565 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=29.663767792293047 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=26.74703270050824 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=25.644392454045274 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=24.58521727953832 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=19.93216694487926 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=18.964497185016533 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=17.23962011897281 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=15.562783395617304 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=11.028690099995742 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=9.21688289004 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=6.286421986058556 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=4.028525879712197 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.7837488955388836 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=68.78919545879941 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=57.63239777830175 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=52.263317574051584 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=45.47590344281588 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=40.71762188131595 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=35.69854988807997 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=34.1909981818163 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=20.902124340108088 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=18.001402695886014 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=14.613414718683426 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=8.99726989489385 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=7.318145536172241 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=3.895843028478064 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.74257145894898 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=58.52686320644909 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=55.87549381713254 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=54.850633173117174 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=53.336218560755185 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=52.235865949658326 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=50.751190597055704 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=46.283438727051205 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=44.2062658146272 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=40.56663794715298 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=37.21525213580808 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=31.194195852217785 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=22.71850682079604 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=10.08618432916018 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=5.158617750568429 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=59.10792258943995 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=57.35788153436906 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=50.693999712903064 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=49.296254504212456 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=47.13672671860864 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=45.27687916596469 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=41.4519528338359 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=40.44996854348159 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=38.74339256036671 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=36.82864175893621 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=26.962070424922178 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=23.587808259916223 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=20.856371632785976 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=18.481806122768223 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=67.79636170990952 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=62.46617130688317 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=57.82227151368852 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=56.57093496842869 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=51.32767470931435 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=42.05131329975559 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=38.576395178640986 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=34.93905494653287 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=32.58965342554228 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=29.251993426394016 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=27.113054359085158 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=21.72338543654005 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=11.959757694000775 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=9.525713664464275 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=5.131166126175161 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=4.353370101699212 for stop_idx=16, stops_count=2
