[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=57.490564385603186 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=55.10913596948712 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=51.55872588129102 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=46.51677753439399 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=41.214038755760896 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=40.40879110689168 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=19.790333552180705 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=19.012537527704755 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=15.4003612846238 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=54.00420808765806 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=52.24730412648886 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=51.3871532288331 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=45.95173159896588 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=44.954322579343774 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=40.24636899589817 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=36.63648038818332 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=33.417777428072554 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=32.92136055362761 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=30.770983309488223 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=29.611152178872615 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=27.3715571554551 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=24.553190384412837 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=16.628821476222576 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=13.778427810054833 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=4.547819107818198 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.99323747612288 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=49.115531310290116 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=46.20565912460362 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=41.13854678867941 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=36.84236757113285 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=36.41457975767107 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=23.24923822573257 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=20.229559542473 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=15.118982134592795 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=13.407830880745706 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=12.565981066018796 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=10.67639425361546 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=9.964939654756577 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=9.052173143680388 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=4.28474104071604 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=59.18112692115533 for stop_idx=1, stops_count=17
