[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.64810788085269 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=55.7794131317561 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=54.049960794980166 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=44.83765317567237 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=34.1109309440026 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=30.41411219237573 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=28.062423036019034 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=26.824812302955834 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=23.999582625815254 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=22.39137496344292 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=19.575295827766762 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=11.923155528143084 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=9.701861587654417 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=4.470039505370604 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=67.8238133343028 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=61.107315899416356 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=43.31180038647985 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=41.360447419191665 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=38.83489797501093 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=29.727821582544006 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=28.048697223822398 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=24.608093633199374 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=8.381895981411407 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=6.451131732418169 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=57.39677133559285 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.61241575003039 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=53.71367839616263 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=50.05574944575955 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=47.152740166171384 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=39.66759724827342 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=34.67826451479682 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=25.445368177194077 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=22.011627492669373 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=19.328231208227344 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=17.9945397897877 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=16.61738329939205 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=12.957166713622875 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=10.136512307214506 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=7.2632422873857045 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=6.528911334865764 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=4.9412923907883854 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=3.4611923089179752 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=66.42606812561218 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=59.780487387075034 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=57.10166637336522 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=52.93588237168668 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=52.06429329720039 for stop_idx=5, stops_count=14
