[DEBUG] Building metrics for mode B: sol has 8 routes
[DEBUG] Calculated ride_time=83.89666666666668 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=74.62166666666667 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=57.345000000000006 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=57.05166666666667 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=51.27 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=48.77333333333335 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=46.695 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=40.36166666666667 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=39.94166666666667 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=36.23166666666667 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=35.660000000000004 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=34.703333333333326 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=29.144999999999996 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=28.58333333333333 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=26.771666666666665 for stop_idx=15, stops_count=13
[DEBUG] Calculated ride_time=20.415 for stop_idx=16, stops_count=12
[DEBUG] Calculated ride_time=18.77166666666667 for stop_idx=17, stops_count=11
[DEBUG] Calculated ride_time=17.73 for stop_idx=18, stops_count=10
[DEBUG] Calculated ride_time=16.27166666666667 for stop_idx=19, stops_count=9
[DEBUG] Calculated ride_time=14.701666666666666 for stop_idx=20, stops_count=8
[DEBUG] Calculated ride_time=14.001666666666667 for stop_idx=21, stops_count=7
[DEBUG] Calculated ride_time=13.485 for stop_idx=22, stops_count=6
[DEBUG] Calculated ride_time=13.375 for stop_idx=23, stops_count=5
[DEBUG] Calculated ride_time=11.33 for stop_idx=24, stops_count=4
[DEBUG] Calculated ride_time=4.49 for stop_idx=25, stops_count=3
[DEBUG] Calculated ride_time=3.2150000000000003 for stop_idx=26, stops_count=2
[DEBUG] Calculated ride_time=69.05166666666665 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=60.17166666666665 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=58.61499999999999 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=54.67833333333333 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=42.648333333333326 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=39.49833333333333 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=35.58833333333333 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=30.856666666666666 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=24.806666666666665 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=19.381666666666664 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=15.128333333333334 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=4.895 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=4.0633333333333335 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.0716666666666668 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=77.41 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=75.32166666666666 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=72.54499999999999 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=68.82 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=67.33500000000001 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=66.32000000000001 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=63.65666666666668 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=60.71666666666667 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=58.35000000000001 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=56.39333333333333 for stop_idx=10, stops_count=16
