[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=85.83436657165323 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=82.52873346763045 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=78.28516986350431 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=76.0043974034969 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=73.20661935074959 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=72.2595383091818 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=66.84699303297565 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=61.04783737989761 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=59.82166482366494 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=57.275526661189254 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=54.63788308406935 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=50.7489029616896 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=46.862210474675955 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=38.77770709085829 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=33.62823988175428 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=29.654617250828622 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=19.232150522850898 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=16.676861818910794 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=5.547515762806404 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=2.9670630698391363 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=88.66645915489212 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=85.45233146551357 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=80.77869241255956 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=80.35090459909779 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=71.2232394883359 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=55.98530031470562 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=52.30220737527539 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=50.40575765677374 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=47.10469982348316 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=38.6221478859631 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=35.481224528299926 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=32.921360553627615 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=30.0846926996565 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=24.479986052697456 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=22.210651769520567 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=16.201033662760807 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=11.552558598833954 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.547819107818198 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=85.5026594435679 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=77.66979595002185 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=73.540614114201 for stop_idx=3, stops_count=15
