[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=55.01305528411069 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=52.21985250209559 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=50.89759926048647 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=33.86157868909707 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=32.182454330375464 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=29.611152178872615 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=26.749320335874344 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=21.615866574333076 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=13.709798749071663 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=12.803895144093794 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=7.821425316715504 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=7.327296077636666 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=58.753339107693556 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=54.68592342675756 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=52.72313228263884 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=43.01440778888611 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=36.940735891875384 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=34.38544718793528 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=23.416235607458294 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=22.018490398767685 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=17.733749358051647 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=13.387242162450754 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=10.79306365728685 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=6.474008086079226 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=53.93557902667488 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=52.652215586289564 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=46.68148728075359 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=43.616055890171914 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=37.94729545296191 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=29.36179992396709 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=26.156822776052955 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=25.37902675157701 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=22.663603572009503 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=18.614488974002352 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=14.215366164981027 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=13.487898118559404 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=6.1651773116549515 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=59.94519713343465 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=58.64582024548659 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=54.923837504832555 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=48.394926169966794 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=44.13534911827792 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=42.48596401931568 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=41.39704958504935 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=33.34457309635717 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=32.42036840845046 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=31.983430053524263 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=29.883380787439197 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=27.99608161040197 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=25.729034962591186 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=10.0541574340347 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=6.09654825067178 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=55.379076942687604 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=54.66990997919483 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=48.772386005374244 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=41.44508992773757 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=20.41943327785978 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=19.07887895332182 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=18.042580132475923 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=51.048583194649446 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=49.72404231767423 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=49.60737291400284 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=46.30631508071227 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=42.456224759556314 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=39.475435877520546 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=26.268916908992143 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=24.530314030751786 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=24.48227368806356 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=22.011627492669373 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=21.6250171157975 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=18.38115016665957 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=12.385257872096442 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=11.747007604952941 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=6.689045810493165 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=5.602419011592942 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=56.376485962309694 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=52.297632104543176 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=50.25019845187855 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=44.386989008549556 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=38.60384680303425 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=32.89390892923434 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=24.342727930731108 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=20.69623715715857 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=18.12264737028962 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=11.33523323905391 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=9.7750659193698 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=7.087094364195562 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=3.74257145894898 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=57.5317418221931 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=55.92582179518687 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=49.955093489650906 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=37.78944861270062 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=30.869351630230767 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=28.215694605548116 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=15.809848015156724 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=15.574221572447835 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=7.604099956935459 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=6.178903123851587 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=4.703378312713388 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=52.61561342043187 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=49.01716298954755 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=41.77222178509069 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=38.125731011518155 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=33.66255441224587 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=31.686037455930517 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=29.78043719596444 for stop_idx=7, stops_count=6
