[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=49.15999999999998 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=47.68999999999998 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=46.30333333333332 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=44.83166666666665 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=43.61999999999998 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=40.959999999999994 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=39.62166666666666 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=37.096666666666664 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=35.74666666666666 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=35.195 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=33.73166666666667 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=31.12166666666667 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=29.570000000000004 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=28.62 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=26.643333333333338 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=23.323333333333338 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=22.053333333333338 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=21.74833333333334 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=20.77166666666667 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=20.243333333333336 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=13.799999999999999 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=13.096666666666666 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=12.433333333333334 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=11.031666666666666 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=7.426666666666666 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=4.67 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=3.268333333333333 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=53.241666666666674 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=51.790000000000006 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=50.908333333333346 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=47.735000000000014 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=46.66833333333334 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=44.28166666666668 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=42.92666666666668 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=39.26166666666667 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=32.501666666666665 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=31.19333333333333 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=26.029999999999998 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=21.511666666666667 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=18.17 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=12.446666666666665 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=10.828333333333333 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=6.591666666666667 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=5.626666666666667 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.941666666666666 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.49666666666667 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=58.021666666666675 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=54.256666666666675 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=49.98166666666667 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=47.656666666666666 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=45.93666666666667 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=42.76166666666667 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=32.03333333333333 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=28.535 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=24.238333333333333 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=22.46666666666667 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=20.111666666666668 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=17.84 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=54.10666666666666 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=53.568333333333335 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=52.678333333333335 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=51.04333333333334 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=42.341666666666654 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=39.03333333333333 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=37.589999999999996 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=31.523333333333333 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=30.936666666666667 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=27.335 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=25.458333333333336 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=20.716666666666665 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=17.84 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=16.53 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=14.571666666666667 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=12.915000000000001 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=10.215 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=7.9 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=58.071666666666665 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=54.94833333333333 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=52.43666666666666 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=51.29666666666666 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=48.00833333333333 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=44.11666666666667 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=39.45166666666667 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=38.10333333333334 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=35.388333333333335 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=31.061666666666664 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=27.05333333333333 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=26.78333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=21.013333333333332 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=15.743333333333332 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=14.309999999999999 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=4.278333333333333 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.3133333333333335 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=53.64833333333334 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=52.540000000000006 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=45.13833333333334 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=43.02 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=41.98833333333334 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=37.26666666666666 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=26.386666666666667 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=24.333333333333336 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=21.873333333333335 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=18.36 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=14.084999999999999 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=13.131666666666666 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=12.736666666666666 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=11.758333333333335 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=8.988333333333333 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=7.178333333333333 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=4.9366666666666665 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.77 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.25 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.695000000000014 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=58.871666666666684 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=56.018333333333345 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=54.83000000000001 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=54.02000000000001 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=51.396666666666675 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=50.65333333333334 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=45.76666666666668 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=44.59666666666668 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=42.23000000000001 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=40.18166666666667 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=29.348333333333333 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=26.531666666666666 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=25.488333333333333 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=24.755 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=21.995 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=12.16 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=11.888333333333334 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=9.031666666666666 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=6.751666666666667 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=5.121666666666667 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=57.12499999999998 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=55.04833333333332 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=52.41166666666665 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=51.319999999999986 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=49.44833333333332 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=48.75999999999999 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=46.716666666666654 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=45.07499999999999 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=44.26333333333333 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=40.90333333333332 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=38.394999999999996 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=33.90833333333333 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=20.226666666666667 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=18.708333333333336 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=18.05 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=16.833333333333336 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=11.621666666666666 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=10.863333333333333 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=9.885 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=7.53 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=5.193333333333333 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=2.5966666666666667 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=57.443333333333335 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.769999999999996 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=54.615 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=54.22833333333333 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=52.19166666666666 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=50.63166666666667 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=49.28666666666667 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=45.595000000000006 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=36.413333333333334 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=33.74 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=31.238333333333333 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=29.35 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=26.671666666666667 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=22.863333333333333 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=21.826666666666664 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=19.245 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=13.793333333333333 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=2.066666666666667 for stop_idx=18, stops_count=2
