[DEBUG] Building metrics for mode B: sol has 8 routes
[DEBUG] Calculated ride_time=73.81741799349982 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=63.9165321289942 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=58.36444109545558 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=46.08898972093221 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=45.97232031726082 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=44.187964731698344 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=40.84801709718398 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=38.63587369815973 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=35.0328479965432 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=33.28509457683842 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=31.02948610585817 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=24.029321885574625 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=21.407691756017456 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=18.195851702005005 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=17.969375800760538 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=15.601673196841102 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=15.215062819969233 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=11.971195870831302 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.52884749680341 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=58.94321284308033 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=46.416121578285335 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=42.42877313516305 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=26.664677827328433 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=25.10908577837653 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=22.58811160492801 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=20.526952140066747 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=19.126919296010037 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=15.59252265537668 for stop_idx=10, stops_count=7
