[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=56.1408595196008 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=53.146344825368395 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=52.06886856793259 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=49.26880287981918 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=46.2857263624173 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=40.550624499590235 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=40.31499805688134 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=36.801190134542935 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=33.278231670740105 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=30.485028888725004 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=27.730715907933707 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=25.424779458899124 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=18.86155359354177 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=16.57391822743604 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=15.235651538264186 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=13.069260846562058 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=12.556830524554371 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=11.708117803729145 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=5.003058545673239 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.74257145894898 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=58.99125318576856 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=57.46082512584381 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=55.966999231776775 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=53.173796449761674 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=51.851543208152556 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=47.450132763765126 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=46.15761878191539 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=46.040949378243994 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=44.25659379268152 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=39.230658893347226 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=32.017744584015844 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=24.843720075908266 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=16.265087453011766 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=15.45297689804423 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=11.959757694000775 for stop_idx=15, stops_count=3
