[DEBUG] Building metrics for mode B: sol has 8 routes
[DEBUG] Calculated ride_time=89.12169859274718 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=87.44714950475779 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=81.9522493553718 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=81.54733789557109 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=77.97633908908004 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=66.09436099752686 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=54.136890938892186 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=47.720073736965595 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=46.64488511489591 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=30.979158127803842 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=22.97243434643378 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=22.74595844518931 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=20.378255841269876 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=19.991645464398008 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=16.747778515260077 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=8.647261683879673 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=7.091669634927774 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.570695461479255 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=88.5749537402479 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=87.95500455603324 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=86.61445023149528 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=79.33290686118073 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=73.06478595805102 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=68.10061721360158 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=57.63697304903396 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=56.14314715496692 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=53.34994437295182 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=52.0642932972004 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=42.52256618517338 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=39.46628533605612 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=34.5135547684372 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=31.939964981568252 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=24.349590836829428 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=21.727960707272256 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=14.354911922313477 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=13.716661655169979 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=10.337824219431809 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=8.62667296558472 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=5.092276324951363 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=89.99786293796566 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=88.86777106710943 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=82.13297254929415 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=79.06754115871249 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=73.39878072150248 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=64.81328519250764 for stop_idx=6, stops_count=18
