[DEBUG] Building metrics for mode C: sol has 20 routes
[DEBUG] Calculated ride_time=29.794999999999998 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=26.346666666666668 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=25.325 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=23.686666666666664 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=23.556666666666665 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=18.733333333333334 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=16.386666666666663 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=14.404999999999998 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=12.883333333333333 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=12.648333333333333 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=9.555 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=9.016666666666666 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=8.693333333333333 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=7.573333333333333 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=6.8566666666666665 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=5.6466666666666665 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=4.203333333333333 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=2.885 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=2.5233333333333334 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=1.29 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=29.528333333333336 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=24.765 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=19.931666666666665 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=19.486666666666665 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=18.846666666666664 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=14.129999999999999 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=13.075 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=11.985 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=9.518333333333334 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=4.688333333333333 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=3.67 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=1.1616666666666666 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=29.40833333333333 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=27.18 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=26.633333333333333 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=25.116666666666667 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=22.636666666666663 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=15.313333333333334 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=6.68 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=6.186666666666667 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=5.376666666666667 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=4.945 for stop_idx=10, stops_count=5
