[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.98866220539066 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=58.465097051564236 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=50.30281406529898 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=48.51845847973651 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=46.61972112586875 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=42.96179217546568 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=40.058782895877506 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=32.57363997797954 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=26.34898414680584 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=22.023065669499896 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=19.790333552180698 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=17.70401009829227 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=16.29253907740503 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=15.411799461454327 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=13.876796130797379 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.620416749509992 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=2.9670630698391363 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=58.64353261012049 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=56.73335707942219 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=53.988194640095315 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=45.56054595136179 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=44.33437339512912 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=41.01958974964191 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=37.66134103219869 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=36.586152410129 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=34.39917300013192 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=30.81673601681034 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=28.874533590986573 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=25.79766402357436 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=25.09993523691211 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=13.579403533203635 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=9.358716282738557 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.419104837292689 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=4.412848621217961 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.06216988211782 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.24410645608736 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=50.522427060445125 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=48.20962770531223 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=47.98543943943387 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=46.09585262703053 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=41.14998496550994 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=39.76825320438207 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=36.85151811259726 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=29.707232864249058 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=26.314669616314255 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=23.63127333187223 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=22.164899062198455 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=20.920425423036935 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=17.26020883726776 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=14.640866343076695 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=9.269498503460433 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.556969649282621 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.41904099923032 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=56.18661222692292 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=51.93618571669847 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=42.59805815225487 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=42.31896663758997 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=40.042769448314765 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=34.50211659160668 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=29.906257141100255 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=20.40570746566314 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=16.58306876890046 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=12.742128989208936 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=5.028222534700403 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=58.81739289794452 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=55.12057414631765 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=52.76888498996096 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=51.53127425689776 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=43.66180859749403 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=41.90490463632483 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=41.04475373866907 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=31.68832509129662 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=31.15759368636009 for stop_idx=9, stops_count=9
