[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.43535779180485 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=58.01900815517361 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=41.47940445822916 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=34.01713789399225 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=32.11382526939228 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=30.789284392417063 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=15.546769948054564 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=13.920261202753387 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=10.234880627957052 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=8.62667296558472 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=5.092276324951363 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=50.211308650654736 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=49.30540504567686 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=46.33834197583773 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=33.02659178046848 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=27.23658666885487 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=25.767924763814985 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=23.455125408682086 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=17.546163258030973 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=11.847663561061594 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=11.209413293918095 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=5.602419011592941 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.0905953796088457 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=58.39875562594715 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=53.59472135712512 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=52.110046004522495 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=37.43944040168643 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=33.32855964879443 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=30.656601541182937 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=24.772803379558994 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=22.210651769520567 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=19.190973086261 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=11.287192896365688 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=7.864890388671512 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=5.003058545673239 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=3.8958430284780645 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=58.48797340522528 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=57.18402124654502 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=54.1437538449905 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=51.117212255632616 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=48.56192355169251 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=43.61834352553802 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=41.5754851436056 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=37.32963390411336 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=22.68190465493835 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=19.408298446041044 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=17.010856582362234 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=3.717407469921817 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=3.4817810272129264 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=58.34842764789284 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=56.975846428229396 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=49.785808472559076 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=44.89713169519113 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=40.562062676420766 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=31.143867874163462 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=18.7929245325586 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=17.868719844651885 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=17.2373324836067 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=15.370622024864424 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=13.966013910075503 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=8.336143274089293 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=5.421695817670589 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=57.03761258311426 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=52.99536089120543 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=52.375411706990775 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=51.03485738245281 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=33.46353013539467 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=23.87833795141165 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=21.064546451101595 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=17.294523367759346 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=10.0541574340347 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=6.09654825067178 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=54.43885880721814 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=52.01854058987827 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=49.74920630670138 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=42.69642647299741 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=41.37188559602219 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=41.255216192350794 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=39.12542766650636 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=34.9116033221396 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=31.84388429619181 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=28.236283323843068 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=25.21202936985129 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=23.464275950146508 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=11.012676652433 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=5.419408182304482 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=59.06674515285005 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=55.80457712078327 for stop_idx=2, stops_count=14
