[DEBUG] Building metrics for mode C: sol has 19 routes
[DEBUG] Calculated ride_time=28.24 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=27.23 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=26.73333333333333 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=22.185 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=20.938333333333333 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=19.441666666666666 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=16.733333333333334 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=11.93 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=4.863333333333333 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=23.858333333333327 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=20.799999999999997 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=10.91 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=8.095 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=5.843333333333334 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=3.6266666666666665 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=1.0566666666666666 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=29.901666666666664 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=28.028333333333336 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=27.238333333333333 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=22.814999999999998 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=17.048333333333332 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=11.24 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=29.395 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=22.968333333333334 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=18.266666666666666 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=14.57 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=12.668333333333333 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=11.543333333333333 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=10.083333333333332 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=8.236666666666666 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=6.536666666666667 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=4.075 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=2.0116666666666667 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=26.28333333333333 for stop_idx=1, stops_count=12
