[DEBUG] Building metrics for mode B: sol has 8 routes
[DEBUG] Calculated ride_time=66.67833333333334 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=65.58000000000001 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=63.300000000000004 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=60.64333333333333 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=60.425000000000004 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=59.79833333333333 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=56.95666666666666 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=53.27333333333333 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=52.18500000000001 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=49.586666666666666 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=45.336666666666666 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=42.66833333333334 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=40.445 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=25.945 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=23.47 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=21.381666666666668 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=17.178333333333335 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=16.068333333333335 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=14.99 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=4.343333333333334 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.171666666666667 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=68.75666666666666 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=64.655 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=63.410000000000004 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=62.88500000000001 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=59.815000000000005 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=55.37000000000001 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=54.49000000000001 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=52.86500000000001 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=49.93333333333334 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=47.685 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=44.223333333333336 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=43.733333333333334 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=36.599999999999994 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=34.41 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=27.196666666666665 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=22.575 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=21.813333333333333 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=19.313333333333333 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=18.473333333333333 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=12.475 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=10.468333333333334 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=9.74 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=8.078333333333333 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=6.578333333333333 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=6.0 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=63.17166666666667 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=62.62 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=61.27166666666667 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=60.27166666666667 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=60.08 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=58.835 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=57.775 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=54.80666666666667 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=50.52333333333333 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=48.735 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=45.32333333333332 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=40.22 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=39.824999999999996 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=37.46333333333333 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=29.895000000000003 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=29.65833333333334 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=28.473333333333336 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=26.573333333333338 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=25.015 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=23.85666666666667 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=22.50333333333333 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=20.28 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=18.048333333333332 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=16.421666666666667 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=10.425 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=9.531666666666666 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=6.513333333333334 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=65.05333333333334 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=62.101666666666674 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=61.269999999999996 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=60.08833333333334 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=59.766666666666666 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=52.30833333333333 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=50.79666666666667 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=49.364999999999995 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=48.74666666666666 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=47.181666666666665 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=45.89 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=43.24666666666667 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=38.685 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=34.013333333333335 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=32.74666666666666 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=29.82 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=29.68166666666667 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=27.671666666666663 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=26.018333333333334 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=16.39 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=14.16 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=12.934999999999999 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=10.251666666666667 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=7.879999999999999 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=4.336666666666667 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=3.1366666666666667 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=2.8383333333333334 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=66.17333333333335 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=64.00333333333334 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=62.166666666666686 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=58.80333333333334 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=56.673333333333346 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=55.665000000000006 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=53.870000000000005 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=51.84833333333334 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=49.968333333333334 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=48.72166666666668 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=43.05833333333334 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=41.08 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=36.38666666666667 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=33.778333333333336 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=26.293333333333337 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=25.633333333333333 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=25.22 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=23.723333333333336 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=23.203333333333333 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=21.873333333333335 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=21.618333333333332 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=20.064999999999998 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=19.766666666666666 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=11.395 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=11.156666666666666 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=9.543333333333333 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=7.293333333333334 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=5.013333333333334 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=64.72500000000001 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=58.96333333333334 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=58.46666666666668 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=57.991666666666674 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=56.733333333333334 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=54.88333333333334 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=52.45666666666666 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=50.24499999999999 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=49.608333333333334 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=47.516666666666666 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=46.489999999999995 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=44.51833333333333 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=37.21333333333334 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=35.96 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=34.18 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=32.68 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=30.509999999999998 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=27.718333333333334 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=25.881666666666668 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=25.064999999999998 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=23.915 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=19.09 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=16.60666666666667 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=14.331666666666667 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=12.613333333333333 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=8.306666666666667 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=7.458333333333334 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=4.386666666666667 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=40.92 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=39.711666666666666 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=38.21333333333334 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=37.11666666666667 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=35.38333333333334 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=33.873333333333335 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=32.638333333333335 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=30.139999999999997 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=24.256666666666664 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=22.709999999999997 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=18.128333333333334 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=7.176666666666668 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=4.711666666666667 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=84.56333333333332 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=83.75166666666665 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=78.52833333333332 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=74.15666666666665 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=71.08 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=69.15333333333332 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=67.11833333333334 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=66.49000000000001 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=63.385000000000005 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=60.72500000000001 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=59.50166666666667 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=56.616666666666674 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=51.373333333333335 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=42.1 for stop_idx=14, stops_count=12
