[DEBUG] Building metrics for mode C: sol has 10 routes
[DEBUG] Calculated ride_time=59.51499999999999 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=56.033333333333324 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=52.37833333333332 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=48.98166666666666 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=42.416666666666664 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=40.05833333333333 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=36.51166666666666 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=32.11 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=30.726666666666667 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=29.976666666666667 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=27.781666666666666 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=25.255 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=16.5 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=13.21 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=10.371666666666666 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=3.808333333333333 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.60666666666666 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=57.294999999999995 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=46.81166666666666 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=45.09333333333333 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=41.345 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=36.01 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=34.29833333333333 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=32.413333333333334 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=25.353333333333335 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=23.665000000000003 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=23.243333333333336 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=21.94333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=17.73333333333333 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=13.069999999999997 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=8.441666666666666 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=4.001666666666667 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.4050000000000002 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.77333333333334 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=57.123333333333335 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=56.44833333333334 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=53.580000000000005 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=52.046666666666674 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=49.833333333333336 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=48.245000000000005 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=47.513333333333335 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=45.12166666666667 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=38.291666666666664 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=34.785 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=33.891666666666666 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=32.596666666666664 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=29.98166666666667 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=28.308333333333334 for stop_idx=15, stops_count=13
