[DEBUG] Building metrics for mode B: sol has 15 routes
[DEBUG] Calculated ride_time=58.52915084181519 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=56.91636790871065 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=52.24730412648885 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=44.89484405982502 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=42.607208693719286 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=41.268942004547434 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=39.10255131284531 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=37.74140827001239 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.81720358210568 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=34.900165145309074 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=34.35799556354201 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=26.806511220026984 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=25.24863153570898 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=21.771425779228267 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=21.124024970620344 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=9.644670703501772 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=7.711618819142428 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.717407469921817 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.4817810272129264 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=58.892884865026005 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=52.85581513387298 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=43.250034231595 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=41.32384525333397 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=40.52546051056307 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=36.2269936576504 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=33.62366461102207 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=32.89619656460045 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=30.974582857071635 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=26.01727701872051 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=22.867203119592915 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=22.60641268785686 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=17.999115060519912 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=16.310840160333882 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=14.547073293066362 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=11.38327358174213 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=9.457084603481103 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=7.020752938578497 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=6.373352129970574 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.89486915538032 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=56.122558436671966 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=55.76568731955946 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=54.31761413281454 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=53.15092009610062 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=51.679970555694624 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=47.45470803449733 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=44.718696136634875 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=44.293195958539215 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=37.70709373952081 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=36.19954203325713 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=35.1495174002146 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=29.08957131540051 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=25.7747876699133 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=24.031609520940734 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=20.977616307189578 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=18.941620831355475 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=10.001541820614268 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=4.447163151709546 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=68.0685903184761 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=58.064760862495724 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=51.629642577640304 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=45.27001625986636 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=43.87227105117575 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=39.53491439703929 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=34.168121828155236 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=31.276550725397584 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=29.101009492231036 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=27.600320692065672 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=24.598943091734952 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=21.54266224261769 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=13.995753169834876 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=65.44924782428505 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=64.84302445226703 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=60.11676978589258 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=57.68730102708829 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=47.360914984487 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=45.87623963188438 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=39.41366972263568 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=35.85410909297516 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=30.919679608285094 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=24.51430058318904 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=17.05203401895214 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=12.968604890453404 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=10.603189921900075 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=10.362988208458972 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=9.589767454715235 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.400803754363842 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.5115202869723006 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=58.691572952808706 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=58.04188450883468 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=51.348263427609304 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=50.57961794459777 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=49.64397507986053 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=39.53033912630708 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=37.44172803705254 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=34.17727236961966 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=32.472984021870886 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=27.584307244502938 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=24.123114935584958 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=19.410586081407146 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=10.914308331690455 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=59.34812430288105 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=54.21009527060757 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=51.45806992518237 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=51.17211550441916 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=46.49161354536683 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=44.20169054389499 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=41.895754094860415 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=41.39247431431715 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=40.83200364962125 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=37.60872541877827 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=36.52438625524414 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=36.08287262958574 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=29.457880609343526 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=21.81260321581817 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=21.165202407210245 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=18.076894662967504 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=16.10724061275047 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=15.697753882217544 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=8.587783164360923 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=5.003058545673239 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.74257145894898 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=57.98469362468203 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=56.94381953310392 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=52.75973444849653 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=51.0691719129444 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=34.58447146478648 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=33.18672625609588 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=30.501042336287746 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=27.975492892107017 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=24.823131357613313 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=8.898901574151303 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=58.648107880852706 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=34.20014872328071 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=33.55274791467279 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=23.32244255744795 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=20.5086510571379 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=17.32883789825093 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=15.915079241997587 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=13.380379256352434 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=10.664956076784929 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=64.2779785168389 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=61.24914929211491 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=52.958758725347735 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=52.48293056919775 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=47.4386945869346 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=40.12741195686067 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=38.65646241645469 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=35.19984537826892 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=34.1955734525485 for stop_idx=9, stops_count=15
