[DEBUG] Building metrics for mode C: sol has 20 routes
[DEBUG] Calculated ride_time=27.566666666666666 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=24.29 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=19.201666666666664 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=15.833333333333332 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=14.836666666666666 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=11.708333333333332 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=3.3449999999999998 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=27.535 for stop_idx=1, stops_count=9
[DEBUG] Calculated ride_time=25.87 for stop_idx=2, stops_count=8
[DEBUG] Calculated ride_time=23.439999999999998 for stop_idx=3, stops_count=7
[DEBUG] Calculated ride_time=18.608333333333334 for stop_idx=4, stops_count=6
[DEBUG] Calculated ride_time=15.549999999999999 for stop_idx=5, stops_count=5
[DEBUG] Calculated ride_time=14.836666666666666 for stop_idx=6, stops_count=4
[DEBUG] Calculated ride_time=9.863333333333333 for stop_idx=7, stops_count=3
[DEBUG] Calculated ride_time=8.226666666666667 for stop_idx=8, stops_count=2
[DEBUG] Calculated ride_time=29.703333333333333 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=29.223333333333333 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=29.018333333333334 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=27.94 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=26.031666666666666 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=22.97333333333333 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=22.414999999999996 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=18.073333333333334 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=17.243333333333336 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=9.319999999999999 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=8.06 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=4.74 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=4.234999999999999 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=3.04 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=2.203333333333333 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=1.998333333333333 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=1.1166666666666667 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=0.8383333333333333 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=28.903333333333332 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=25.416666666666668 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=22.98 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=22.896666666666665 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=21.508333333333336 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=16.673333333333332 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=16.060000000000002 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=14.690000000000001 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=12.955 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=11.158333333333333 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=10.645 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=10.098333333333333 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=7.376666666666667 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=4.933333333333334 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=29.818333333333335 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=26.946666666666665 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=26.43 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=24.60333333333333 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=23.455 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=21.37333333333333 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=20.881666666666664 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=20.401666666666664 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=19.69833333333333 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=19.10333333333333 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=18.611666666666665 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=18.001666666666665 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=14.125 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=5.98 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=2.923333333333333 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=1.0799999999999998 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=29.291666666666668 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=29.001666666666665 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=25.313333333333333 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=23.904999999999998 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=21.754999999999995 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=19.833333333333332 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=17.354999999999997 for stop_idx=7, stops_count=13
