[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.80666666666666 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=57.31499999999999 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=54.01333333333333 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=47.904999999999994 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=44.88666666666666 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=41.40666666666667 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=39.47166666666667 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=36.650000000000006 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=35.040000000000006 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=33.45666666666667 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=31.841666666666672 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=28.53666666666667 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=22.426666666666666 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=22.013333333333332 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=20.91 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=12.798333333333334 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=11.655000000000001 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=10.831666666666667 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=3.505 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=2.1616666666666666 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=59.203333333333326 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=56.754999999999995 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=54.434999999999995 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=53.489999999999995 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=51.82833333333333 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=48.44833333333333 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=45.94833333333333 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=42.22 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=38.16166666666666 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=36.849999999999994 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=30.36 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=25.603333333333335 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=24.85 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=23.34 for stop_idx=14, stops_count=10
