[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=57.94999999999999 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=54.77999999999999 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=52.236666666666665 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=51.254999999999995 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=50.635000000000005 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=50.22833333333334 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=47.66 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=46.125 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=43.733333333333334 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=40.375 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=30.653333333333332 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=28.044999999999998 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=25.535 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=19.618333333333332 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=13.708333333333332 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=10.879999999999999 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.20666666666668 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.635000000000005 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=53.97166666666668 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=48.08000000000001 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=47.29333333333334 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=43.58500000000001 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=38.220000000000006 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=33.75666666666667 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=30.45 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=28.429999999999996 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=25.146666666666665 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=22.41333333333333 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=20.804999999999996 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=19.529999999999998 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=17.328333333333333 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=10.433333333333334 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=8.705 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=5.925000000000001 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=2.5366666666666666 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.49333333333334 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=57.858333333333334 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=47.74666666666667 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=39.10666666666667 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=37.614999999999995 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=35.483333333333334 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=34.96666666666667 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=33.26833333333333 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=30.58833333333333 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=28.326666666666664 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=26.971666666666664 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=26.669999999999998 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=11.931666666666667 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=10.153333333333332 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=9.423333333333334 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=8.285 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.598333333333336 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=58.90666666666667 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=49.6 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=48.655 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=47.69833333333334 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=43.11333333333333 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=39.55833333333334 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=34.94166666666667 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=32.795 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=29.765 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=29.01166666666667 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=27.501666666666665 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=25.97833333333333 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=22.421666666666667 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=20.06 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=10.209999999999999 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=7.918333333333333 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=7.31 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=6.043333333333333 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=5.5216666666666665 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=59.77333333333334 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=58.135000000000005 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=56.19500000000001 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=47.943333333333335 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=47.28166666666667 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=46.46333333333334 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=33.483333333333334 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=23.089999999999996 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=19.973333333333333 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=19.395 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=13.573333333333332 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=10.28 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=6.993333333333334 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=6.466666666666667 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=4.59 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=4.225 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=2.61 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=57.56333333333334 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=57.12500000000001 for stop_idx=2, stops_count=22
