[DEBUG] Building metrics for mode C: sol has 10 routes
[DEBUG] Calculated ride_time=70.45666666666666 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=69.20166666666665 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=65.96333333333334 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=57.96666666666666 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=54.53833333333333 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=48.72999999999999 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=45.48 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=40.25833333333333 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=38.23833333333333 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=37.641666666666666 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=28.11 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=26.188333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=18.445 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=15.918333333333333 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=6.7316666666666665 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.111666666666666 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.283333333333333 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=86.98999999999998 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=79.66833333333332 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=75.43333333333331 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=70.38999999999999 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=66.44333333333333 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=63.62666666666666 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=60.13999999999999 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=57.66833333333332 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=47.008333333333326 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=31.925000000000004 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=27.43166666666667 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=16.47833333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=9.908333333333333 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=8.576666666666666 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=7.756666666666666 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=4.933333333333334 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.0349999999999997 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=82.03999999999999 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=79.65999999999998 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=75.68666666666665 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=63.62833333333334 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=58.185 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=55.663333333333334 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=50.66833333333333 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=41.678333333333335 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=37.585 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=35.19833333333333 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=22.51666666666667 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=14.873333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=13.181666666666667 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=11.6 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=10.053333333333333 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=8.261666666666667 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.896666666666667 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=80.92500000000001 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=78.27000000000002 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=76.11833333333335 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=67.18 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=63.345000000000006 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=62.571666666666665 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=60.348333333333336 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=55.36666666666667 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=54.473333333333336 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=53.178333333333335 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=50.6 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=47.385 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=46.31999999999999 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=42.584999999999994 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=40.74333333333333 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=33.47 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=27.918333333333333 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=25.186666666666667 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=17.72833333333333 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=16.055 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=14.651666666666666 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=6.663333333333333 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=4.991666666666666 for stop_idx=23, stops_count=3
