[DEBUG] Building metrics for mode C: sol has 19 routes
[DEBUG] Calculated ride_time=29.268333333333338 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=19.939999999999998 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=18.14333333333333 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=16.343333333333334 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=15.98 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=10.338333333333333 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=28.706666666666667 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=25.898333333333333 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=23.14666666666667 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=22.175 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=21.015 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=20.926666666666666 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=19.966666666666665 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=19.518333333333334 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=18.58 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=17.201666666666668 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=14.471666666666668 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=9.985 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=8.858333333333334 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=7.045 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=5.428333333333334 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=4.108333333333333 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=22.723333333333333 for stop_idx=1, stops_count=3
[DEBUG] Calculated ride_time=11.24 for stop_idx=2, stops_count=2
[DEBUG] Calculated ride_time=27.778333333333332 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=22.341666666666665 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=22.243333333333336 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=20.28333333333333 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=19.22833333333333 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=18.138333333333332 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=15.008333333333335 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=12.94 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=8.826666666666666 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=6.65 for stop_idx=10, stops_count=4
