[DEBUG] Building metrics for mode B: sol has 22 routes
[DEBUG] Calculated ride_time=59.990949840756755 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=52.677379575316735 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=51.48780918494174 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=51.01655629952397 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=48.7174827565877 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=42.517990914441164 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=41.410775397245985 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=39.313013766527035 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=39.15745456163184 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=35.6733858990528 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=34.48610314404393 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=31.942252616934354 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=29.084996044668294 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=27.61404650426231 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=22.638439582982336 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=22.00018931583884 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=20.02138472415738 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=18.91645684232831 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=12.453886933079612 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.61806527608153 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=56.13170897813639 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=54.75912775847295 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=53.71596603152873 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=43.40559343649019 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=39.12314003114026 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=37.32963390411336 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=35.78548003199199 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=35.355404583164116 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=31.271975454665377 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=22.963283804969354 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=18.765472908165332 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=13.103575377053641 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=12.099303451333224 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=9.303813033952018 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.3664892238722555 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=4.966456379815547 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.37557592727431 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=57.81769624295631 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=48.982848459055965 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=44.586013285400746 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=31.43668520102499 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=30.050378169164915 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=29.64089143863199 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=19.511242037515803 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=13.643457323454594 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=8.903476844883516 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=6.888070087344364 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=5.904386879918899 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=5.012209087137663 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.877541945549219 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=59.13766184919932 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=55.68790771711187 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=54.75455248774073 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=45.894540714813225 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=45.79617239407068 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=43.968351736552194 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=41.932356260718095 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=40.385914753230615 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=37.35937316387273 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=35.59560629660521 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=32.525599635291314 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=29.922270588662993 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=29.444154797146894 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=29.052969149542815 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=26.966645695654382 for stop_idx=15, stops_count=13
[DEBUG] Calculated ride_time=22.169474332930662 for stop_idx=16, stops_count=12
[DEBUG] Calculated ride_time=19.595884546061715 for stop_idx=17, stops_count=11
[DEBUG] Calculated ride_time=17.848131126356932 for stop_idx=18, stops_count=10
[DEBUG] Calculated ride_time=12.218260490370723 for stop_idx=19, stops_count=9
[DEBUG] Calculated ride_time=9.459372238847209 for stop_idx=20, stops_count=8
[DEBUG] Calculated ride_time=8.338430909455399 for stop_idx=21, stops_count=7
[DEBUG] Calculated ride_time=6.366489223872256 for stop_idx=22, stops_count=6
[DEBUG] Calculated ride_time=5.8128814652746685 for stop_idx=23, stops_count=5
[DEBUG] Calculated ride_time=4.971031650547759 for stop_idx=24, stops_count=4
[DEBUG] Calculated ride_time=4.691940135882859 for stop_idx=25, stops_count=3
