[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.39833333333333 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.324999999999996 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=54.83833333333333 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=51.45166666666667 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=47.16833333333333 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=46.59666666666667 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=43.73833333333334 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=41.723333333333336 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=33.33166666666667 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=32.473333333333336 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=30.444999999999997 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=30.148333333333333 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=28.916666666666668 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=21.69833333333333 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=20.595 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=19.638333333333332 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=7.9733333333333345 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=4.958333333333334 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.435 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.87833333333334 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=56.86000000000001 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=51.64666666666667 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=49.64666666666667 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=47.59666666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=39.785000000000004 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=38.14666666666667 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=35.69 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=34.835 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=30.080000000000002 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=28.596666666666668 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=27.334999999999997 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=24.615 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=23.688333333333336 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=22.298333333333336 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=18.148333333333333 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=5.925000000000001 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=2.5366666666666666 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.361666666666665 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=57.515 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=47.076666666666675 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=45.463333333333345 for stop_idx=4, stops_count=18
