[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=83.79333333333332 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=76.28833333333331 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=75.17333333333332 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=72.16666666666664 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=69.02999999999999 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=68.04666666666665 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=63.12666666666666 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=60.86 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=57.64333333333333 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=50.42166666666667 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=46.718333333333334 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=44.08166666666666 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=41.571666666666665 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=36.39666666666666 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=32.07999999999999 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=30.53833333333333 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=22.496666666666666 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=18.90833333333333 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=7.959999999999999 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=5.176666666666666 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=4.444999999999999 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=89.19 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=88.11999999999999 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=84.65333333333332 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=81.74999999999999 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=80.72833333333331 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=75.255 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=66.63333333333333 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=64.76166666666667 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=57.555 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=37.971666666666664 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=36.805 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=32.73166666666667 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=31.03333333333333 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=22.845 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=13.611666666666665 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=11.973333333333333 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=5.391666666666667 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=61.158333333333324 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=52.678333333333335 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=51.574999999999996 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=50.61833333333333 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=43.26666666666666 for stop_idx=5, stops_count=16
