[DEBUG] Building metrics for mode B: sol has 36 routes
[DEBUG] Calculated ride_time=61.28117618724038 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=60.60174848350698 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=58.664121328415426 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=57.12911799775848 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=56.86603993065632 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=54.58069219991669 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=49.769795024996334 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=42.806232970570484 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=29.583700554479346 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=9.262635597362115 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=4.81547244565257 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.877541945549219 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=63.37436254722714 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=62.665195583734366 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=59.40073991630148 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=58.55660246620847 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=54.3816679230655 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=52.137497628915774 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=51.58388987031818 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=51.130938067829256 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=46.52821571122452 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=43.261472408425526 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=42.46537530102073 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=41.3764608667544 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=38.94699210795011 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=29.91769531793078 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=28.718974386091375 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=26.506830987067133 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=24.64927106978928 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=24.05219823923568 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=23.420810878190498 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=23.105117197667905 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=18.548147548385284 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=17.305961544589874 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=16.13926750787595 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=15.732068412709129 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=3.3719745296398513 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=66.22475621339488 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=64.93910513764347 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=59.04844406992118 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=57.831422055152935 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=55.42940492074191 for stop_idx=5, stops_count=17
