[DEBUG] Building metrics for mode C: sol has 20 routes
[DEBUG] Calculated ride_time=25.67 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=24.660000000000004 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=14.353333333333335 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=13.298333333333336 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=12.208333333333334 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=8.426666666666668 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=27.451666666666668 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=24.243333333333332 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=20.28333333333333 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=11.24 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=27.486666666666665 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=22.811666666666667 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=19.11 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=18.596666666666664 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=16.46833333333333 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=13.706666666666667 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=11.121666666666666 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=8.906666666666666 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=8.018333333333333 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=5.114999999999999 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=24.634999999999998 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=20.19833333333333 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=8.098333333333333 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=7.703333333333333 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=3.3833333333333333 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=2.9166666666666665 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=27.40833333333333 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=25.18 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=19.165 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=12.309999999999999 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=8.511666666666667 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=7.3566666666666665 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=6.725 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=5.225 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=4.406666666666666 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=29.94333333333334 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=28.856666666666673 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=22.745 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=20.916666666666668 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=18.691666666666663 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=16.351666666666667 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=12.423333333333334 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=9.968333333333334 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=8.915000000000001 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=4.51 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=3.6633333333333336 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=21.84 for stop_idx=1, stops_count=6
[DEBUG] Calculated ride_time=18.781666666666666 for stop_idx=2, stops_count=5
[DEBUG] Calculated ride_time=11.548333333333332 for stop_idx=3, stops_count=4
[DEBUG] Calculated ride_time=9.715 for stop_idx=4, stops_count=3
[DEBUG] Calculated ride_time=7.366666666666666 for stop_idx=5, stops_count=2
[DEBUG] Calculated ride_time=28.764999999999993 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=28.15333333333333 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=24.95666666666667 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=17.401666666666664 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=16.348333333333333 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=13.415 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=10.908333333333333 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=9.34 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=8.021666666666667 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=6.943333333333333 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=24.626666666666672 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=14.790000000000001 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=11.620000000000001 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=8.855 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=7.595 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=4.818333333333333 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=3.671666666666667 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=28.091666666666665 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=27.391666666666666 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=20.638333333333332 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=20.091666666666665 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=13.593333333333334 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=10.535 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=6.128333333333333 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=16.4 for stop_idx=1, stops_count=3
[DEBUG] Calculated ride_time=8.368333333333334 for stop_idx=2, stops_count=2
[DEBUG] Calculated ride_time=11.24 for stop_idx=1, stops_count=2
[DEBUG] Calculated ride_time=27.491666666666664 for stop_idx=1, stops_count=9
[DEBUG] Calculated ride_time=27.146666666666665 for stop_idx=2, stops_count=8
[DEBUG] Calculated ride_time=25.188333333333333 for stop_idx=3, stops_count=7
[DEBUG] Calculated ride_time=24.75333333333333 for stop_idx=4, stops_count=6
[DEBUG] Calculated ride_time=19.848333333333333 for stop_idx=5, stops_count=5
[DEBUG] Calculated ride_time=18.881666666666668 for stop_idx=6, stops_count=4
[DEBUG] Calculated ride_time=4.306666666666667 for stop_idx=7, stops_count=3
[DEBUG] Calculated ride_time=3.3133333333333335 for stop_idx=8, stops_count=2
[DEBUG] Calculated ride_time=29.388333333333335 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=18.908333333333335 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=18.46166666666667 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=18.411666666666665 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=4.626666666666667 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=2.748333333333333 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=2.4566666666666666 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=28.159999999999997 for stop_idx=1, stops_count=6
[DEBUG] Calculated ride_time=25.65833333333333 for stop_idx=2, stops_count=5
[DEBUG] Calculated ride_time=18.851666666666667 for stop_idx=3, stops_count=4
[DEBUG] Calculated ride_time=11.839999999999998 for stop_idx=4, stops_count=3
[DEBUG] Calculated ride_time=10.514999999999999 for stop_idx=5, stops_count=2
[DEBUG] Calculated ride_time=29.80833333333333 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=28.66666666666667 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=27.97166666666667 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=25.96 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=22.810000000000002 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=14.746666666666666 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=13.085 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=12.878333333333334 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=11.736666666666668 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=5.734999999999999 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=4.848333333333333 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.195 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=29.215 for stop_idx=1, stops_count=9
[DEBUG] Calculated ride_time=27.845 for stop_idx=2, stops_count=8
[DEBUG] Calculated ride_time=26.619999999999997 for stop_idx=3, stops_count=7
[DEBUG] Calculated ride_time=19.646666666666665 for stop_idx=4, stops_count=6
[DEBUG] Calculated ride_time=17.523333333333333 for stop_idx=5, stops_count=5
[DEBUG] Calculated ride_time=6.835000000000001 for stop_idx=6, stops_count=4
[DEBUG] Calculated ride_time=4.996666666666667 for stop_idx=7, stops_count=3
[DEBUG] Calculated ride_time=3.4650000000000003 for stop_idx=8, stops_count=2
[DEBUG] Calculated ride_time=20.40833333333333 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=19.248333333333335 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=12.591666666666667 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=9.533333333333333 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=25.02 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=24.575 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=23.223333333333333 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=21.12833333333333 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=12.806666666666665 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=11.839999999999998 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=10.514999999999999 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=29.993333333333332 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=28.625 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=28.47833333333333 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=27.27166666666667 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=25.599999999999998 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=23.72 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=22.968333333333334 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=14.576666666666666 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=9.945 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=7.578333333333333 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=5.983333333333333 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.7016666666666667 for stop_idx=12, stops_count=2
