[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=117.94060418392007 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=81.02299286390152 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=69.44609486503904 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=43.17250072759418 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=140.2226918778998 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=128.01877562546616 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=121.80976560229816 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=89.15893703219062 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=81.14533788898858 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=69.93547496538726 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=53.74005226948847 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=45.84879815137349 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=28.246407666973596 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=25.294833936748418 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=67.22859128533618 for stop_idx=1, stops_count=4
[DEBUG] Calculated ride_time=50.08499464501274 for stop_idx=2, stops_count=3
[DEBUG] Calculated ride_time=31.656775241275227 for stop_idx=3, stops_count=2
[DEBUG] Calculated ride_time=180.36715323458938 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=172.72058916664852 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=150.30086331944585 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=148.72567112145003 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=129.62455407973374 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=18.963478888493373 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=78.1937641587634 for stop_idx=1, stops_count=6
[DEBUG] Calculated ride_time=60.897236237081145 for stop_idx=2, stops_count=5
[DEBUG] Calculated ride_time=41.551429145190724 for stop_idx=3, stops_count=4
[DEBUG] Calculated ride_time=32.19203472603109 for stop_idx=4, stops_count=3
[DEBUG] Calculated ride_time=27.267647466277165 for stop_idx=5, stops_count=2
[DEBUG] Calculated ride_time=181.57531035732404 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=163.30002223494535 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=150.8514159323376 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=96.36200038419092 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=215.78603799729154 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=180.4589120034047 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=175.44276597483548 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=118.0935354652789 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=118.4146911561324 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=111.74688728888796 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=102.28044097277716 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=36.76468003865973 for stop_idx=4, stops_count=2
