[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=88.85404525491279 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=85.11833670206214 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=82.06891875904319 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=78.365237101318 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=73.4925737715128 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=64.9185164193485 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=60.35468386396758 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=56.717343631859464 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=39.12542766650637 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=36.586152410129 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=30.590260115565872 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=23.45741304404819 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=19.936742215611467 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=14.350336651581268 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=8.642686413147462 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=3.7837488955388836 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=88.67789733172268 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=86.89125411079411 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=82.5012818432372 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=75.75275751322528 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=75.2860798985397 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=67.36857389644774 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=63.1204350215894 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=59.81480191756661 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=54.056823701078486 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=48.50930793827208 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=42.7719184400789 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=22.180912509761193 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=17.35171425191199 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=13.869933224699064 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=11.552558598833956 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=9.969514925488788 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=89.00502918907577 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=83.17842191160445 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=79.25055198800091 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=73.47884795931614 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=59.270344700433455 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=50.755765867787915 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=39.16660510309626 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=38.11658047005373 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=32.699459923115356 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=30.533069231413226 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=26.031002830917142 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=25.47510743695345 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=23.173746258651082 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=21.4259928389463 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=14.01634188812983 for stop_idx=15, stops_count=5
