[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.329823219952196 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=57.61638433073901 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=51.29793544955497 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=49.38089701275836 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=47.54392581377546 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=38.31789238227104 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=37.40970114192706 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=35.75802840759872 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=31.16445659245841 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=30.256265352114436 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=28.407855976301 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=26.403887395592378 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=16.66999891281248 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=14.93825894067044 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=12.755854801405569 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=12.222835761102933 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=10.978362121941416 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.717407469921817 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.4817810272129264 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=74.79881356555917 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=70.66276882364001 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=69.37940538325469 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=64.09725532291654 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=60.32265696884208 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=57.410497147789485 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=56.81342431723589 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=56.218639122048394 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=50.12895377747494 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=39.381642827510206 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=38.5832580847393 for stop_idx=11, stops_count=13
