[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.53372611254742 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=52.86954094606961 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=47.67203339427739 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=43.375854176730826 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=30.215087915524528 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=28.67550931413537 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=26.955207518823862 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=18.303370564211974 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=6.215505289709278 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=4.81547244565257 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=4.078853857766523 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=58.85399506380221 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=56.78368505747652 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=54.9421385877614 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=51.412317217860256 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=34.62336126601028 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=28.490210849480803 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=25.97838721749671 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=22.89007947325397 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=18.962209549650424 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=17.150402339694686 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=11.847663561061594 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=10.64894262922219 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=7.196900861768638 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=4.575270732211467 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.8089128845660465 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=59.741597585851245 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=55.87320618176644 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=47.44784512839903 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=47.02463258566947 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=44.27718251097648 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.90810230672631 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=37.80088678953114 for stop_idx=7, stops_count=10
