[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.611666666666665 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.63499999999999 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=57.641666666666666 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=50.94333333333333 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=45.34666666666667 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=37.196666666666665 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=30.44166666666667 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=26.630000000000003 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=23.038333333333334 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=17.3 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=13.625000000000002 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=11.721666666666668 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=11.033333333333333 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=9.82 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=9.028333333333334 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=8.781666666666668 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=6.093333333333334 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.6966666666666668 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.2483333333333335 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.11833333333334 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=58.66666666666667 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=58.235 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=57.108333333333334 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=54.27 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=51.24333333333334 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=45.59166666666667 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=41.37833333333333 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=38.45833333333333 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=37.08 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=35.93666666666666 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=33.90333333333333 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=32.50333333333333 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=31.141666666666662 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=28.96333333333333 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=27.58333333333333 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=25.15 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=24.046666666666667 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=12.73 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=11.013333333333334 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=10.148333333333333 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=57.135000000000005 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=52.32 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=50.36 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=45.36833333333334 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=41.705000000000005 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=37.80833333333334 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=36.44833333333334 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=32.87833333333333 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=22.098333333333336 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=20.045 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=19.605000000000004 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=18.30333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=13.608333333333334 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=12.608333333333334 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=11.488333333333333 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=9.176666666666666 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.3583333333333334 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=58.695 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=50.44166666666668 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=45.78000000000001 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=38.34 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=35.33333333333333 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=34.49333333333333 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=32.86 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=30.179999999999993 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=28.90333333333333 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=21.704999999999995 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=19.061666666666664 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=13.525000000000002 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=12.059999999999999 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=9.273333333333333 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=7.926666666666666 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=7.295 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=6.258333333333333 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=4.8 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.3449999999999998 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=57.470000000000006 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=55.059999999999995 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=52.72166666666667 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=49.434999999999995 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=41.03999999999999 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=39.62499999999999 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=38.24666666666666 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=35.56166666666666 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=33.22666666666666 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=25.328333333333333 for stop_idx=10, stops_count=11
