[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.75000000000001 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=56.00833333333333 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=54.74 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=53.13500000000001 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=45.11166666666667 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=44.540000000000006 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=43.58333333333334 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=39.32000000000001 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=32.763333333333335 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=29.22666666666667 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=28.880000000000003 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=23.78166666666667 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=22.235 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=13.593333333333334 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=12.203333333333333 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=11.086666666666666 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=10.103333333333333 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=9.08 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=8.763333333333334 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=7.390000000000001 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=4.456666666666667 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=3.225 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=59.85833333333334 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.86333333333334 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=54.43666666666666 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=52.59499999999999 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=52.036666666666655 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=44.67833333333332 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=41.60999999999999 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=37.26833333333334 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.225 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=33.96 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=29.653333333333332 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=25.185 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=24.503333333333334 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=23.896666666666665 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=20.935000000000002 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=19.046666666666667 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=9.121666666666666 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=7.7700000000000005 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=6.508333333333334 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.635 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=59.38333333333333 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=56.52833333333333 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=55.02 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=52.538333333333334 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=41.27 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=38.81 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=37.583333333333336 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.05833333333334 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=33.82333333333333 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=30.631666666666668 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=29.80666666666667 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=18.428333333333335 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=17.166666666666668 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=14.898333333333333 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=12.850000000000001 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=10.375 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.4833333333333334 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=1.9683333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.785 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=56.781666666666666 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=54.18833333333334 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=49.40000000000001 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=48.45666666666668 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=45.93500000000001 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=44.27500000000001 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=42.56500000000001 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=41.175000000000004 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=38.38833333333333 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=34.63333333333333 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=30.80833333333333 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=27.42 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=26.826666666666668 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=24.826666666666668 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=23.27 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=17.223333333333333 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=14.768333333333334 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=14.149999999999999 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=13.254999999999999 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=12.855 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=9.948333333333334 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=6.676666666666667 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=4.148333333333333 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=59.466666666666676 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=57.981666666666676 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=56.966666666666676 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=54.57833333333334 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=51.800000000000004 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=50.040000000000006 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=48.745000000000005 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=48.535000000000004 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=45.998333333333335 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=42.245 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=33.74166666666667 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=33.074999999999996 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=30.345 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=23.42833333333333 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=16.830000000000002 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=11.411666666666665 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=6.656666666666666 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=5.0633333333333335 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=4.458333333333334 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.2150000000000003 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=59.15166666666667 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=57.05333333333334 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=55.855000000000004 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=54.220000000000006 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=44.63500000000001 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=44.445000000000014 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=41.921666666666674 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=40.26500000000001 for stop_idx=8, stops_count=17
[DEBUG] Calculated ride_time=37.745000000000005 for stop_idx=9, stops_count=16
[DEBUG] Calculated ride_time=35.510000000000005 for stop_idx=10, stops_count=15
[DEBUG] Calculated ride_time=34.105000000000004 for stop_idx=11, stops_count=14
[DEBUG] Calculated ride_time=31.821666666666662 for stop_idx=12, stops_count=13
[DEBUG] Calculated ride_time=24.466666666666665 for stop_idx=13, stops_count=12
[DEBUG] Calculated ride_time=23.081666666666667 for stop_idx=14, stops_count=11
[DEBUG] Calculated ride_time=21.685 for stop_idx=15, stops_count=10
[DEBUG] Calculated ride_time=16.988333333333333 for stop_idx=16, stops_count=9
[DEBUG] Calculated ride_time=14.923333333333332 for stop_idx=17, stops_count=8
[DEBUG] Calculated ride_time=12.436666666666667 for stop_idx=18, stops_count=7
[DEBUG] Calculated ride_time=10.286666666666665 for stop_idx=19, stops_count=6
[DEBUG] Calculated ride_time=9.993333333333332 for stop_idx=20, stops_count=5
[DEBUG] Calculated ride_time=4.878333333333334 for stop_idx=21, stops_count=4
[DEBUG] Calculated ride_time=3.1433333333333335 for stop_idx=22, stops_count=3
[DEBUG] Calculated ride_time=2.7233333333333336 for stop_idx=23, stops_count=2
[DEBUG] Calculated ride_time=59.300000000000004 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=58.57 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=56.60333333333333 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=55.0 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=53.086666666666666 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=49.075 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=41.575 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=39.818333333333335 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=38.965 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=31.763333333333335 for stop_idx=10, stops_count=14
