[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.93000000000001 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=57.841666666666654 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=55.704999999999984 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=53.31666666666666 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=52.05499999999999 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=47.40666666666666 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=46.36333333333333 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=44.09833333333333 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=39.79166666666667 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=34.19499999999999 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=30.43 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=29.748333333333335 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=29.141666666666666 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=26.18 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=24.291666666666664 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=16.35 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=15.950000000000001 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=11.916666666666666 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=9.155000000000001 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=8.053333333333335 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=6.723333333333334 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=4.6850000000000005 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=56.60666666666667 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=53.628333333333345 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=52.24333333333334 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=50.84666666666667 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=47.49333333333334 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=36.12833333333333 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=34.391666666666666 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=31.583333333333332 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=31.46833333333333 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=30.951666666666664 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=30.186666666666664 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=29.226666666666667 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=28.716666666666665 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=27.659999999999997 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=26.138333333333332 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=24.904999999999998 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=24.653333333333332 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=21.798333333333332 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=20.29 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=17.808333333333334 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=16.28 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=13.293333333333333 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=11.771666666666668 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=9.148333333333333 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=7.85 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=5.325 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=4.148333333333333 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=59.723333333333336 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.870000000000005 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=57.11333333333334 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=51.3 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=49.59 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=46.723333333333336 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=43.940000000000005 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=39.92833333333334 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.976666666666674 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=36.34666666666667 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=24.44666666666667 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=20.725 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=16.538333333333334 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=14.473333333333333 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=11.986666666666668 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=9.836666666666666 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=9.543333333333333 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=3.1433333333333335 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=2.7233333333333336 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=58.42 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=56.82666666666666 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=56.22166666666667 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=55.593333333333334 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=54.083333333333336 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=49.945 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=44.305 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=43.95833333333333 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=38.86 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=37.31333333333334 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=32.220000000000006 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=26.951666666666668 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=21.291666666666664 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=19.056666666666665 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=17.651666666666664 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=13.558333333333332 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=11.575 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=6.050000000000001 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=5.39 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=4.325 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=4.008333333333333 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=2.635 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=58.67333333333333 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=57.188333333333325 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=56.173333333333325 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=53.446666666666665 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=51.39833333333333 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=49.236666666666665 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=46.45833333333333 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=44.69833333333333 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=43.40333333333333 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=43.19333333333333 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=40.656666666666666 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=36.90333333333333 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=26.76 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=25.246666666666666 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=19.2 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=14.55 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=11.245000000000001 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=8.996666666666666 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=7.88 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=5.636666666666667 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=4.073333333333333 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=2.75 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=59.805 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=58.29 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=53.794999999999995 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=52.57833333333333 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=50.125 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=48.69833333333334 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=46.21333333333334 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=42.291666666666664 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=39.64833333333334 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=37.08 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=36.50833333333334 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=35.55166666666667 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=23.05666666666667 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=19.315 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=18.046666666666667 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=16.441666666666666 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=10.826666666666666 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=10.265 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=8.453333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.74833333333333 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=59.129999999999995 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=57.945 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=55.35166666666667 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=52.01833333333333 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=50.778333333333336 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=48.39333333333333 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=45.60666666666667 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=43.485 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=35.81166666666667 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=33.35166666666667 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=30.35 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=28.291666666666668 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=26.770000000000003 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=21.94666666666667 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=5.048333333333333 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=4.163333333333333 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.31 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.4 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=49.83333333333333 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=47.016666666666666 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=46.10166666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=42.18333333333334 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=37.766666666666666 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=35.608333333333334 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=35.015 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=23.938333333333336 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=20.38166666666667 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=18.658333333333335 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=16.175 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=15.985 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=12.336666666666666 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=8.858333333333334 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=5.586666666666667 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.03 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.57333333333334 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=56.50833333333333 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=55.13333333333333 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=52.18833333333333 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=51.36333333333333 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=49.05 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=47.04333333333333 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=42.468333333333334 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=40.071666666666665 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=37.94833333333333 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=32.111666666666665 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=31.445 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=28.715000000000003 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=20.415000000000003 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=19.47166666666667 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=17.165000000000003 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=6.43 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=5.598333333333333 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=4.606666666666667 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=3.965 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=2.975 for stop_idx=21, stops_count=2
