[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.76166666666666 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=56.73666666666667 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=55.27166666666667 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=52.65166666666667 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=51.116666666666674 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=49.175000000000004 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=48.07166666666667 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=46.69166666666667 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=30.3 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=28.506666666666668 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=20.976666666666667 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=19.613333333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=14.463333333333335 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=8.774999999999999 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=7.903333333333332 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=6.5233333333333325 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=5.616666666666666 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=62.79333333333333 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=57.97833333333333 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=56.01833333333333 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=51.026666666666664 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=48.05333333333333 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=43.923333333333325 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=41.35333333333333 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=38.736666666666665 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=31.048333333333332 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=28.078333333333333 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=27.113333333333337 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=25.518333333333338 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=20.33833333333333 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=18.72833333333333 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=17.681666666666665 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=12.778333333333332 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=11.606666666666666 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=9.603333333333332 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=8.733333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.31333333333333 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=56.218333333333334 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=55.040000000000006 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=53.81333333333333 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=49.74666666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=47.120000000000005 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=35.74166666666667 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=33.32166666666667 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=30.233333333333334 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=29.22666666666667 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=27.445 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=26.198333333333338 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=21.468333333333337 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=8.006666666666668 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=6.716666666666667 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=5.701666666666667 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=4.943333333333333 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=2.546666666666667 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.28000000000001 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=53.625 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=51.54833333333333 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=50.269999999999996 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=48.129999999999995 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=47.11666666666667 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=43.98 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=42.455 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=41.615 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=39.335 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=35.745000000000005 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=30.396666666666665 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=29.541666666666668 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=27.71833333333333 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=24.365 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=23.01666666666667 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=18.805 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=9.763333333333332 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=8.725000000000001 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=5.543333333333333 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.3116666666666665 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=59.885000000000005 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=58.358333333333334 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=51.99000000000001 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=51.796666666666674 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=48.25833333333334 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=47.28500000000001 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=44.150000000000006 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=41.92833333333334 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=39.95166666666667 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=37.62833333333334 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=35.16666666666667 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=29.99666666666667 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=21.743333333333336 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=16.723333333333333 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=15.046666666666667 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=8.666666666666666 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=8.475 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=7.628333333333334 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=7.15 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=6.111666666666666 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=5.293333333333333 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=4.616666666666667 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=3.6966666666666668 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=3.2483333333333335 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=59.771666666666675 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=57.91333333333334 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=55.67333333333334 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=53.87166666666668 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=51.92666666666668 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=51.03166666666667 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=50.09833333333334 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=48.55666666666668 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=44.696666666666665 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=40.885000000000005 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=37.235 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=34.51166666666667 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=26.261666666666663 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=24.009999999999998 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=22.565 for stop_idx=15, stops_count=13
[DEBUG] Calculated ride_time=18.278333333333332 for stop_idx=16, stops_count=12
[DEBUG] Calculated ride_time=16.27 for stop_idx=17, stops_count=11
[DEBUG] Calculated ride_time=15.886666666666667 for stop_idx=18, stops_count=10
[DEBUG] Calculated ride_time=15.185 for stop_idx=19, stops_count=9
[DEBUG] Calculated ride_time=13.883333333333335 for stop_idx=20, stops_count=8
[DEBUG] Calculated ride_time=13.455 for stop_idx=21, stops_count=7
[DEBUG] Calculated ride_time=12.161666666666669 for stop_idx=22, stops_count=6
[DEBUG] Calculated ride_time=8.073333333333334 for stop_idx=23, stops_count=5
[DEBUG] Calculated ride_time=5.545 for stop_idx=24, stops_count=4
[DEBUG] Calculated ride_time=5.093333333333334 for stop_idx=25, stops_count=3
[DEBUG] Calculated ride_time=3.481666666666667 for stop_idx=26, stops_count=2
[DEBUG] Calculated ride_time=58.56666666666666 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=50.480000000000004 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=41.64 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=38.153333333333336 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=36.62166666666667 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=32.5 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=22.669999999999995 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=19.791666666666664 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=16.439999999999998 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=13.203333333333335 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=12.06 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=10.038333333333334 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=8.135 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=7.446666666666667 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=5.615 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=4.983333333333333 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.9466666666666668 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=58.27333333333333 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=56.38666666666666 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=54.15333333333333 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=52.90666666666666 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=51.25666666666665 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=46.48999999999999 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=40.83833333333333 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=38.029999999999994 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=27.683333333333334 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=26.92 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=20.545 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=15.393333333333333 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=14.271666666666667 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=11.096666666666666 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=10.436666666666666 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=3.3699999999999997 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.96500000000001 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=55.87000000000001 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=48.90833333333334 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=46.41166666666667 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=45.166666666666664 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=39.37499999999999 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=38.775 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=37.23166666666666 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=33.855 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=32.376666666666665 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=30.573333333333334 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=27.723333333333336 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=20.67 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=18.461666666666666 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=15.98 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=13.108333333333334 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=12.033333333333335 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=8.391666666666666 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=6.845000000000001 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=5.833333333333334 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.71 for stop_idx=21, stops_count=2
