[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=77.52666666666667 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=75.49333333333333 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=74.035 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=69.985 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=68.09833333333333 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=66.11500000000001 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=64.84333333333335 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=63.75000000000001 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=56.24 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=53.516666666666666 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=50.97 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=46.52166666666666 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=40.321666666666665 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=34.99 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=31.151666666666667 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=25.286666666666672 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=23.65333333333334 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=23.066666666666666 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=18.466666666666665 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=17.411666666666665 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=15.469999999999999 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=14.056666666666665 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=12.686666666666667 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=10.046666666666667 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=8.581666666666667 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=5.446666666666667 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=2.9716666666666667 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=72.02666666666669 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=64.49 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=54.33999999999999 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=52.54666666666667 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=43.45333333333333 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=42.598333333333336 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=40.775 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=37.42166666666667 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.07333333333334 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=31.538333333333334 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=29.041666666666664 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=27.796666666666667 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=21.531666666666666 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=17.685000000000002 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=16.40833333333333 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=15.486666666666666 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=14.473333333333333 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=7.2283333333333335 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=5.123333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=72.97999999999999 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=70.67166666666667 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=60.20666666666666 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=47.608333333333334 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=39.656666666666666 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=35.05 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=26.328333333333333 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=23.96333333333333 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=21.595 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=18.9 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=3.71 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=66.95333333333333 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=64.64166666666667 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=60.55666666666667 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=58.983333333333334 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=51.03833333333333 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=48.618333333333325 for stop_idx=6, stops_count=19
