[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.785000000000004 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=57.40500000000001 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=54.318333333333335 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=51.14166666666667 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=48.241666666666674 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=47.05666666666667 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=42.87833333333334 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=42.68833333333334 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=36.73500000000001 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=33.46333333333334 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=31.90666666666667 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=30.968333333333334 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=29.883333333333336 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=28.05833333333333 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=26.859999999999996 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=25.224999999999998 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=21.44666666666667 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=18.878333333333334 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=17.921666666666667 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=13.41 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=12.071666666666665 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=7.298333333333334 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=6.066666666666666 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=3.1433333333333335 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=2.7233333333333336 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=59.205 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=57.04666666666667 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=56.45333333333333 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=54.45333333333334 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=46.68666666666667 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=43.736666666666665 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=41.489999999999995 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=37.39833333333333 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=32.821666666666665 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=27.301666666666666 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=23.536666666666665 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=22.855 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=22.24833333333333 for stop_idx=13, stops_count=6
