[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=65.83666666666664 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=64.18499999999997 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=57.856666666666655 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=51.923333333333325 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=48.114999999999995 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=47.07833333333333 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=44.49666666666667 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=39.77333333333334 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=35.42833333333334 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=34.635000000000005 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=33.265 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=32.76 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=30.983333333333334 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=26.83333333333333 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=25.525 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=23.039999999999996 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=20.05333333333333 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=15.964999999999998 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=13.618333333333334 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=12.146666666666667 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=10.935 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=8.878333333333334 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=6.32 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=5.768333333333334 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=4.823333333333334 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=3.3066666666666666 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=2.066666666666667 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=86.06 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=85.09166666666667 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=76.88666666666667 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=72.36666666666666 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=65.36166666666666 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=56.49166666666665 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=52.09333333333333 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=49.05833333333333 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=48.37 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=47.24333333333333 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=42.839999999999996 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=40.33166666666666 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=37.25333333333333 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=34.794999999999995 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=33.486666666666665 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=24.101666666666667 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=19.993333333333332 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=18.71666666666667 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=16.544999999999998 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=15.371666666666666 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=10.651666666666667 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=9.181666666666668 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=6.921666666666667 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=4.713333333333334 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=76.67999999999999 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=73.77166666666666 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=72.13166666666666 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=70.67999999999999 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=69.79833333333333 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=66.61 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=65.46166666666667 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=61.355000000000004 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=59.27666666666667 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=52.80166666666666 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=46.613333333333344 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=43.52333333333334 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=40.391666666666666 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=38.65166666666667 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=36.273333333333326 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=33.12166666666667 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=31.491666666666664 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=30.709999999999997 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=28.008333333333333 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=26.916666666666668 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=24.301666666666666 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=20.455 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=19.218333333333334 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=15.621666666666668 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=12.28 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=6.591666666666667 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=5.626666666666667 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=4.941666666666666 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=78.68 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=69.12833333333333 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=64.55 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=62.57833333333333 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=60.156666666666666 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=57.150000000000006 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=54.281666666666666 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=53.553333333333335 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=46.565 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=43.87166666666667 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=41.27333333333333 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=38.913333333333334 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=35.79 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=30.996666666666666 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=27.618333333333332 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=21.94166666666667 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=9.985 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=6.983333333333333 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=5.626666666666667 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.94 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=84.03000000000002 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=83.64333333333336 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=80.98833333333336 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=73.805 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=71.74333333333335 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=59.62000000000001 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=49.685 for stop_idx=7, stops_count=22
