[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.67666666666666 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=54.95666666666666 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=52.535 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=49.02166666666666 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=48.29333333333333 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=44.29833333333333 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=41.93833333333333 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=38.815 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=36.30333333333333 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=35.163333333333334 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=31.875 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=28.726666666666667 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=27.933333333333334 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=24.28666666666667 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=18.918333333333333 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=14.81 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=13.533333333333335 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=11.450000000000001 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=8.675 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=4.776666666666666 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.8316666666666666 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=59.25999999999999 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=58.29166666666666 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=51.78166666666666 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=48.315 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=43.97166666666666 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=43.283333333333324 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=42.156666666666666 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=40.89 for stop_idx=8, stops_count=17
[DEBUG] Calculated ride_time=39.24833333333333 for stop_idx=9, stops_count=16
[DEBUG] Calculated ride_time=38.43666666666667 for stop_idx=10, stops_count=15
