[DEBUG] Building metrics for mode C: sol has 19 routes
[DEBUG] Calculated ride_time=43.97833333333334 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=43.498333333333335 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=39.84666666666667 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=33.21666666666667 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=22.94 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=17.998333333333335 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=8.778333333333334 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=44.88666666666666 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=41.391666666666666 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=40.03 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=39.239999999999995 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=37.81166666666667 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=34.86 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=32.016666666666666 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=29.116666666666667 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=28.02833333333333 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=10.693333333333333 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=69.17500000000001 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=67.41333333333334 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=62.406666666666666 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=58.3 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=49.31833333333334 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=46.41499999999999 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=41.09166666666667 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=36.95666666666666 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=29.91333333333333 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=28.484999999999996 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=25.979999999999997 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=22.519999999999996 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=17.86333333333333 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=17.276666666666664 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=17.076666666666664 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=48.06833333333333 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=46.36 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=44.15833333333333 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=40.486666666666665 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=33.77333333333333 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=27.708333333333336 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=24.096666666666668 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=23.596666666666668 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=19.765 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=50.48166666666667 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=44.495 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=42.39666666666667 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=32.56166666666667 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=29.881666666666668 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=22.576666666666668 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=17.83 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=16.298333333333332 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=9.195 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=38.825 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=29.326666666666668 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=18.78 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=13.708333333333334 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=36.385 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=35.085 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=29.163333333333334 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=25.58166666666667 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=23.830000000000002 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=15.920000000000002 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=3.46 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=58.80333333333333 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=55.84166666666667 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=55.18666666666667 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=54.13166666666666 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=49.336666666666666 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=47.36833333333333 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=43.775000000000006 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=40.79166666666667 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=40.13333333333333 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=38.38166666666667 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=35.21333333333334 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=31.48166666666667 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=29.046666666666667 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=28.27166666666667 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=25.378333333333337 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=18.186666666666667 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=15.078333333333335 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=38.84 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=32.315 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=31.086666666666666 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=30.369999999999997 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=26.001666666666665 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=23.598333333333333 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=19.888333333333332 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=40.791666666666664 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=40.36666666666667 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=38.916666666666664 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=37.57333333333333 for stop_idx=4, stops_count=8
[DEBUG] Calculated ride_time=35.138333333333335 for stop_idx=5, stops_count=7
[DEBUG] Calculated ride_time=30.243333333333332 for stop_idx=6, stops_count=6
[DEBUG] Calculated ride_time=28.73166666666667 for stop_idx=7, stops_count=5
[DEBUG] Calculated ride_time=25.186666666666667 for stop_idx=8, stops_count=4
[DEBUG] Calculated ride_time=23.366666666666667 for stop_idx=9, stops_count=3
[DEBUG] Calculated ride_time=15.391666666666667 for stop_idx=10, stops_count=2
[DEBUG] Calculated ride_time=43.72 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=40.66 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=35.39666666666667 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=32.93333333333334 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=30.883333333333336 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=25.995 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=23.218333333333334 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=21.003333333333334 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=14.678333333333335 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=66.81 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=65.38833333333334 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=56.55499999999999 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=51.87833333333333 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=45.72 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=43.339999999999996 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=41.041666666666664 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=33.74333333333334 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=32.90166666666667 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=32.405 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=23.111666666666668 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=14.981666666666666 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=10.808333333333334 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=8.656666666666666 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=45.113333333333344 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=43.891666666666666 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=37.12166666666667 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=35.14333333333334 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=32.540000000000006 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=28.188333333333333 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=25.963333333333335 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=23.088333333333335 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=17.578333333333333 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=15.943333333333335 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=9.401666666666667 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=45.355 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=42.64 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=39.711666666666666 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=38.846666666666664 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=35.9 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=34.20666666666666 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=32.20166666666667 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=29.266666666666666 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=25.136666666666667 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=21.71 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=17.336666666666666 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=13.963333333333333 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=53.745 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=51.965 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=50.83833333333333 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=48.33 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=44.84833333333333 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=43.66666666666667 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=41.193333333333335 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=36.215 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=30.438333333333333 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=28.468333333333334 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=27.490000000000002 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=25.478333333333335 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=24.075000000000003 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=13.898333333333333 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=60.65166666666667 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=58.79333333333334 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=56.84166666666667 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=53.988333333333344 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=50.05 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=46.459999999999994 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=42.70333333333333 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=36.01833333333333 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=33.971666666666664 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=33.27333333333333 for stop_idx=10, stops_count=6
