[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=79.93333333333332 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=78.31166666666665 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=76.82166666666666 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=70.465 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=63.73666666666667 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=62.14000000000001 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=59.96333333333334 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=54.98166666666667 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=47.33666666666667 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=42.30333333333334 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=37.041666666666664 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=32.745 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=28.383333333333333 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=25.581666666666667 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=22.648333333333333 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=21.876666666666665 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=16.83 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=12.903333333333332 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=10.526666666666667 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=8.086666666666666 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=7.456666666666666 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=5.653333333333333 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=5.426666666666666 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=4.779999999999999 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=2.8916666666666666 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=71.74166666666666 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=70.12166666666666 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=67.09 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=66.13166666666666 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=62.52166666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=61.406666666666666 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=58.4 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=49.665000000000006 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=44.93333333333334 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=41.635000000000005 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=36.75833333333333 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=32.51499999999999 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=28.926666666666662 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=21.77 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=11.829999999999998 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=10.575 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=7.903333333333332 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=5.616666666666666 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=83.64666666666665 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=81.69666666666664 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=80.42166666666665 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=74.84666666666664 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=67.94666666666666 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=66.60333333333332 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=58.18333333333334 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=57.36 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=53.67999999999999 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=51.65833333333333 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=46.364999999999995 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=44.79 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=36.325 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=33.90833333333333 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=31.506666666666668 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=28.468333333333334 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=26.833333333333336 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=25.25 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=23.635 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=20.038333333333334 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=16.378333333333334 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=7.654999999999999 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=6.213333333333333 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=3.3666666666666667 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=69.27333333333333 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=67.34833333333333 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=64.57833333333333 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=59.870000000000005 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=57.81 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=53.19333333333333 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=42.095 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=31.395 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=29.38 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=24.871666666666666 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=24.3 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=15.843333333333332 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=14.77 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=10.138333333333334 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=4.766666666666667 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=4.281666666666666 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=87.815 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=87.43499999999999 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=84.66999999999999 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=82.79333333333332 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=81.70833333333333 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=80.74666666666666 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=79.04166666666666 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=78.54333333333332 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=78.08166666666666 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=75.46166666666666 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=73.92666666666666 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=71.535 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=68.17666666666666 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=61.486666666666665 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=57.30500000000001 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=54.531666666666666 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=49.89 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=47.38 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=45.58 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=39.87 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=33.70666666666666 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=18.906666666666666 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=13.765 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=10.915 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=6.573333333333333 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=65.40833333333333 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=62.586666666666666 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=49.946666666666665 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=48.195 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=42.625 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=41.03666666666666 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=37.673333333333325 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=36.81833333333333 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=31.984999999999996 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=28.441666666666663 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=27.144999999999996 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=21.666666666666664 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=19.755 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=18.893333333333334 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=17.755 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=12.535 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=10.955 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=8.18 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=5.133333333333334 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.435 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=77.74666666666666 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=71.77666666666666 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=68.85499999999999 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=67.27999999999999 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=65.86166666666668 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=65.23666666666668 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=64.37666666666667 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=63.695 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=60.89833333333335 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=56.60333333333334 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=54.10333333333333 for stop_idx=11, stops_count=18
[DEBUG] Calculated ride_time=43.17333333333333 for stop_idx=12, stops_count=17
[DEBUG] Calculated ride_time=41.69 for stop_idx=13, stops_count=16
[DEBUG] Calculated ride_time=40.27333333333333 for stop_idx=14, stops_count=15
[DEBUG] Calculated ride_time=37.39833333333333 for stop_idx=15, stops_count=14
[DEBUG] Calculated ride_time=35.45166666666667 for stop_idx=16, stops_count=13
[DEBUG] Calculated ride_time=34.82833333333333 for stop_idx=17, stops_count=12
[DEBUG] Calculated ride_time=33.765 for stop_idx=18, stops_count=11
[DEBUG] Calculated ride_time=32.54333333333334 for stop_idx=19, stops_count=10
[DEBUG] Calculated ride_time=31.525000000000002 for stop_idx=20, stops_count=9
[DEBUG] Calculated ride_time=30.34333333333333 for stop_idx=21, stops_count=8
[DEBUG] Calculated ride_time=27.878333333333334 for stop_idx=22, stops_count=7
[DEBUG] Calculated ride_time=17.256666666666668 for stop_idx=23, stops_count=6
[DEBUG] Calculated ride_time=15.41 for stop_idx=24, stops_count=5
[DEBUG] Calculated ride_time=14.151666666666667 for stop_idx=25, stops_count=4
[DEBUG] Calculated ride_time=10.051666666666666 for stop_idx=26, stops_count=3
[DEBUG] Calculated ride_time=2.546666666666667 for stop_idx=27, stops_count=2
[DEBUG] Calculated ride_time=77.66499999999998 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=76.74166666666666 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=75.78499999999998 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=70.95666666666666 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=70.64 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=70.20666666666666 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=66.91833333333334 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=63.31 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=60.43833333333333 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=56.235 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=51.96333333333333 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=47.75166666666667 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=46.22166666666667 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=41.605000000000004 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=39.42166666666667 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=36.239999999999995 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=35.29833333333333 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=33.379999999999995 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=31.856666666666666 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=28.3 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=25.938333333333333 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=22.58166666666667 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=18.918333333333333 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=8.503333333333334 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=7.045 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=5.205 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=3.635 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=3.503333333333333 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=50.056666666666665 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=49.37833333333334 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=45.89833333333333 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=42.375 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=38.67 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=24.985 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=23.443333333333335 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=17.53333333333333 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=15.648333333333333 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=13.401666666666666 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=2.68 for stop_idx=11, stops_count=2
