[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=43.78666666666666 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=43.49666666666666 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=42.42833333333333 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=41.10833333333333 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=37.82 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=37.18333333333334 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=34.26 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=32.60666666666667 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=28.928333333333335 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=28.445000000000004 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=28.268333333333334 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=27.10166666666667 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=26.846666666666668 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=24.995 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=18.008333333333333 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=16.825 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=16.61 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=10.955 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=7.334999999999999 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=4.776666666666666 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.475 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=57.67333333333333 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=55.95 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=46.11166666666667 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=42.73 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=40.425 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.446666666666665 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=33.57666666666667 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=27.00333333333333 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=14.354999999999999 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=13.575 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=12.186666666666666 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=11.713333333333333 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=11.391666666666666 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=5.466666666666667 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=4.1466666666666665 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=43.5 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=40.226666666666674 for stop_idx=2, stops_count=15
