[DEBUG] Building metrics for mode B: sol has 8 routes
[DEBUG] Calculated ride_time=72.53 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=71.43166666666667 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=69.15166666666667 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=66.49499999999999 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=66.27666666666666 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=65.64999999999999 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=62.80833333333333 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=61.07166666666666 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=58.65833333333333 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=56.94 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=55.74999999999999 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=52.72333333333333 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=51.63499999999999 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=48.50666666666665 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=48.01666666666666 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=45.15499999999999 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=32.30833333333334 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=26.506666666666668 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=25.428333333333335 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=22.693333333333335 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=18.740000000000002 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=16.65 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=13.735 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=11.571666666666667 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=10.326666666666668 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=9.801666666666666 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=7.011666666666667 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=4.711666666666667 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=57.36333333333333 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=55.73833333333333 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=52.955 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=42.66166666666667 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=39.51 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=34.91166666666667 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=34.24333333333333 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=33.751666666666665 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=32.24 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=30.808333333333334 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=30.27166666666667 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=29.14166666666667 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=27.736666666666668 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=25.458333333333336 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=24.618333333333336 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=21.113333333333333 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=17.971666666666668 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=16.366666666666667 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=15.695 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=13.558333333333334 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=12.058333333333334 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=8.870000000000001 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=8.818333333333333 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=4.5616666666666665 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=51.19499999999999 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=49.846666666666664 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=48.846666666666664 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=48.655 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=47.41 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=46.364999999999995 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=42.84 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=34.20333333333334 for stop_idx=8, stops_count=17
[DEBUG] Calculated ride_time=33.96666666666667 for stop_idx=9, stops_count=16
[DEBUG] Calculated ride_time=32.78166666666667 for stop_idx=10, stops_count=15
[DEBUG] Calculated ride_time=30.881666666666668 for stop_idx=11, stops_count=14
[DEBUG] Calculated ride_time=29.323333333333338 for stop_idx=12, stops_count=13
[DEBUG] Calculated ride_time=28.165000000000006 for stop_idx=13, stops_count=12
[DEBUG] Calculated ride_time=26.811666666666667 for stop_idx=14, stops_count=11
[DEBUG] Calculated ride_time=24.72166666666667 for stop_idx=15, stops_count=10
[DEBUG] Calculated ride_time=22.48166666666667 for stop_idx=16, stops_count=9
[DEBUG] Calculated ride_time=19.384999999999998 for stop_idx=17, stops_count=8
[DEBUG] Calculated ride_time=15.626666666666667 for stop_idx=18, stops_count=7
[DEBUG] Calculated ride_time=14.89 for stop_idx=19, stops_count=6
[DEBUG] Calculated ride_time=9.581666666666667 for stop_idx=20, stops_count=5
[DEBUG] Calculated ride_time=8.688333333333333 for stop_idx=21, stops_count=4
[DEBUG] Calculated ride_time=6.841666666666667 for stop_idx=22, stops_count=3
[DEBUG] Calculated ride_time=5.013333333333334 for stop_idx=23, stops_count=2
[DEBUG] Calculated ride_time=47.925000000000004 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=46.32 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=44.943333333333335 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=42.37166666666666 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=41.54 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=40.269999999999996 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=39.94833333333333 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=35.66833333333333 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=30.33833333333333 for stop_idx=9, stops_count=14
[DEBUG] Calculated ride_time=27.854999999999997 for stop_idx=10, stops_count=13
[DEBUG] Calculated ride_time=24.125 for stop_idx=11, stops_count=12
[DEBUG] Calculated ride_time=21.895000000000003 for stop_idx=12, stops_count=11
[DEBUG] Calculated ride_time=20.81666666666667 for stop_idx=13, stops_count=10
[DEBUG] Calculated ride_time=18.299999999999997 for stop_idx=14, stops_count=9
[DEBUG] Calculated ride_time=15.416666666666666 for stop_idx=15, stops_count=8
[DEBUG] Calculated ride_time=15.021666666666667 for stop_idx=16, stops_count=7
[DEBUG] Calculated ride_time=12.315 for stop_idx=17, stops_count=6
[DEBUG] Calculated ride_time=11.629999999999999 for stop_idx=18, stops_count=5
[DEBUG] Calculated ride_time=6.365 for stop_idx=19, stops_count=4
[DEBUG] Calculated ride_time=5.226666666666667 for stop_idx=20, stops_count=3
[DEBUG] Calculated ride_time=3.67 for stop_idx=21, stops_count=2
[DEBUG] Calculated ride_time=58.608333333333334 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=57.22999999999999 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=54.68166666666666 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=52.511666666666656 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=50.675 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=49.88166666666666 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=45.87333333333333 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=44.078333333333326 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=42.49166666666666 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=41.28499999999999 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=37.915000000000006 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=36.66166666666667 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=34.88166666666667 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=29.123333333333335 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=28.46333333333333 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=28.049999999999997 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=27.073333333333338 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=26.553333333333335 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=24.143333333333338 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=23.845 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=15.473333333333333 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=11.491666666666667 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=9.02 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=7.923333333333334 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=6.513333333333334 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=63.156666666666666 for stop_idx=1, stops_count=28
[DEBUG] Calculated ride_time=60.593333333333334 for stop_idx=2, stops_count=27
[DEBUG] Calculated ride_time=58.480000000000004 for stop_idx=3, stops_count=26
[DEBUG] Calculated ride_time=57.50833333333334 for stop_idx=4, stops_count=25
[DEBUG] Calculated ride_time=56.24333333333334 for stop_idx=5, stops_count=24
[DEBUG] Calculated ride_time=53.81666666666666 for stop_idx=6, stops_count=23
[DEBUG] Calculated ride_time=51.605000000000004 for stop_idx=7, stops_count=22
[DEBUG] Calculated ride_time=50.968333333333334 for stop_idx=8, stops_count=21
[DEBUG] Calculated ride_time=48.876666666666665 for stop_idx=9, stops_count=20
[DEBUG] Calculated ride_time=47.849999999999994 for stop_idx=10, stops_count=19
[DEBUG] Calculated ride_time=45.87833333333333 for stop_idx=11, stops_count=18
