[DEBUG] Building metrics for mode C: sol has 8 routes
[DEBUG] Calculated ride_time=81.70166666666667 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=79.58666666666666 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=77.39999999999999 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=74.8 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=72.58833333333332 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=71.61333333333333 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=71.19166666666666 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=68.83333333333333 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=60.94 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=55.641666666666666 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=48.235 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=44.614999999999995 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=42.36833333333333 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=41.251666666666665 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=39.33166666666666 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=31.043333333333333 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=29.650000000000002 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=27.048333333333336 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=18.89166666666667 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=17.343333333333334 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=12.566666666666668 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=11.235 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=7.023333333333333 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=4.755 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=3.296666666666667 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=102.94333333333334 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=101.73833333333334 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=98.97333333333334 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=92.11 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=88.90166666666667 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=84.90833333333335 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=83.32666666666667 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=81.85166666666667 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=80.88166666666667 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=74.99166666666667 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=72.76833333333335 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=63.56666666666667 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=58.51166666666666 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=53.196666666666665 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=50.056666666666665 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=48.550000000000004 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=47.945 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=34.67666666666667 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=30.233333333333334 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=28.560000000000002 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=27.156666666666666 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=21.925 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=19.566666666666666 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=18.321666666666665 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=15.411666666666667 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=11.01 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=9.626666666666667 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=8.876666666666667 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=96.63166666666666 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=92.91499999999999 for stop_idx=2, stops_count=26
