[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.444999999999986 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=57.65666666666665 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=57.21833333333331 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=52.74499999999999 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=47.899999999999984 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=47.11333333333332 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=41.304999999999986 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=39.45833333333333 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=32.83166666666667 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=31.970000000000006 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=30.831666666666674 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=23.94 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=22.83666666666667 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=21.880000000000003 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=16.26833333333333 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=13.051666666666666 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=10.021666666666665 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=9.669999999999998 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=9.05 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=8.165 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=6.7716666666666665 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=5.036666666666666 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=3.8416666666666663 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=3.503333333333333 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=54.30833333333334 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=52.975 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=50.94833333333333 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=49.035 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=46.031666666666666 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=44.29333333333334 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=43.38166666666667 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=43.163333333333334 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=42.41 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=40.86333333333334 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=38.16833333333333 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=30.928333333333335 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=25.401666666666664 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=22.206666666666663 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=21.35833333333333 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=18.275 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=15.436666666666666 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=12.576666666666666 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=12.076666666666666 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=11.171666666666665 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=10.375 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=9.778333333333332 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=8.453333333333333 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=6.836666666666666 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=3.853333333333333 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=55.903333333333315 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=54.82999999999999 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=51.51499999999999 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=49.489999999999995 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=47.21999999999999 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=41.88666666666666 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=40.36 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=35.425 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=32.766666666666666 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=25.93166666666667 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=23.853333333333335 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=23.28166666666667 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=19.73166666666667 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=12.205000000000002 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=10.921666666666667 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=8.763333333333335 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=4.316666666666667 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.166666666666667 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=57.541666666666664 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=55.92666666666667 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=55.50666666666667 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=53.578333333333326 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=53.27333333333333 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=45.50666666666667 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=40.55833333333333 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=37.44166666666666 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=33.29333333333333 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=28.215 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=25.169999999999998 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=22.115 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=21.543333333333333 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=16.88 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=10.915 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=6.573333333333333 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.79666666666667 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=56.80666666666667 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=55.739999999999995 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=51.491666666666674 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=50.730000000000004 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=43.20833333333333 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=39.91 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=35.41833333333333 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=31.038333333333334 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=29.858333333333334 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=27.97333333333333 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=25.76833333333333 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=19.898333333333333 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=11.384999999999998 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=6.02 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=56.04666666666667 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=54.991666666666674 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=53.965 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=53.003333333333345 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=49.86833333333334 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=43.71666666666667 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=42.405 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=36.504999999999995 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=34.31333333333333 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=32.37833333333333 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=28.388333333333335 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=25.323333333333334 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=23.651666666666667 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=20.743333333333336 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=19.133333333333333 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=17.55 for stop_idx=16, stops_count=4
