[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.58833333333333 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=57.70333333333334 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=54.461666666666666 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=50.42166666666667 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=48.06666666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=38.781666666666666 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=37.678333333333335 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=36.72166666666667 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=31.665 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=28.368333333333332 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=26.336666666666666 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=20.676666666666662 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=17.718333333333334 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=13.589999999999998 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=9.011666666666667 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=7.39 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=6.118333333333333 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=5.5216666666666665 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=69.33833333333334 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=67.79666666666667 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=63.73000000000001 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=58.86333333333334 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=56.300000000000004 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=51.03166666666667 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=47.32000000000001 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=46.64666666666667 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=42.16833333333334 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=37.91166666666667 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=31.451666666666668 for stop_idx=11, stops_count=10
