[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=57.72666666666668 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=55.08666666666667 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=52.93833333333333 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=50.498333333333335 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=49.86833333333334 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=44.02166666666667 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=42.69333333333333 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=41.11833333333333 for stop_idx=8, stops_count=17
[DEBUG] Calculated ride_time=37.471666666666664 for stop_idx=9, stops_count=16
[DEBUG] Calculated ride_time=34.971666666666664 for stop_idx=10, stops_count=15
[DEBUG] Calculated ride_time=31.388333333333332 for stop_idx=11, stops_count=14
[DEBUG] Calculated ride_time=26.978333333333335 for stop_idx=12, stops_count=13
[DEBUG] Calculated ride_time=25.403333333333336 for stop_idx=13, stops_count=12
[DEBUG] Calculated ride_time=23.985000000000003 for stop_idx=14, stops_count=11
[DEBUG] Calculated ride_time=22.58666666666667 for stop_idx=15, stops_count=10
[DEBUG] Calculated ride_time=19.721666666666668 for stop_idx=16, stops_count=9
[DEBUG] Calculated ride_time=19.223333333333333 for stop_idx=17, stops_count=8
[DEBUG] Calculated ride_time=18.761666666666667 for stop_idx=18, stops_count=7
[DEBUG] Calculated ride_time=15.773333333333333 for stop_idx=19, stops_count=6
[DEBUG] Calculated ride_time=9.948333333333334 for stop_idx=20, stops_count=5
[DEBUG] Calculated ride_time=6.901666666666667 for stop_idx=21, stops_count=4
[DEBUG] Calculated ride_time=5.203333333333333 for stop_idx=22, stops_count=3
[DEBUG] Calculated ride_time=3.3666666666666667 for stop_idx=23, stops_count=2
[DEBUG] Calculated ride_time=59.73666666666667 for stop_idx=1, stops_count=22
[DEBUG] Calculated ride_time=58.098333333333336 for stop_idx=2, stops_count=21
[DEBUG] Calculated ride_time=55.641666666666666 for stop_idx=3, stops_count=20
[DEBUG] Calculated ride_time=54.78666666666667 for stop_idx=4, stops_count=19
[DEBUG] Calculated ride_time=45.691666666666656 for stop_idx=5, stops_count=18
[DEBUG] Calculated ride_time=44.07666666666666 for stop_idx=6, stops_count=17
[DEBUG] Calculated ride_time=40.044999999999995 for stop_idx=7, stops_count=16
[DEBUG] Calculated ride_time=38.51499999999999 for stop_idx=8, stops_count=15
[DEBUG] Calculated ride_time=33.89833333333333 for stop_idx=9, stops_count=14
