[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=58.25500000000001 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=51.71666666666667 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=50.34 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=47.76833333333334 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=46.93666666666667 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=45.755 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=45.43333333333334 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=34.248333333333335 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=30.805 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=27.688333333333333 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=22.145 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=17.27166666666667 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=16.16166666666667 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=15.083333333333334 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=4.436666666666667 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=2.896666666666667 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=51.126666666666665 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=48.03 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=46.903333333333336 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=46.013333333333335 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=43.97166666666668 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=42.46333333333334 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=41.65166666666667 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=36.42833333333334 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=34.01666666666667 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=30.69 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=28.840000000000003 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=26.433333333333337 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=25.40666666666667 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=22.593333333333337 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=22.29666666666667 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=19.803333333333335 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=15.875000000000002 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=15.215000000000002 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=14.048333333333336 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=7.118333333333334 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=6.19 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=5.23 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=58.02833333333332 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=54.59166666666667 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=53.44166666666666 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=50.91 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=48.64666666666667 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=44.190000000000005 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=40.65833333333334 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=37.69 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=35.08166666666667 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=28.11 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=26.340000000000003 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=23.493333333333332 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=22.803333333333335 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=21.020000000000003 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=18.305 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=15.895 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=10.141666666666667 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=55.37499999999999 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=50.86999999999999 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=45.20166666666667 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=43.705 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=43.184999999999995 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=37.288333333333334 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=36.60333333333333 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=30.453333333333333 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=28.869999999999997 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=26.239999999999995 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=21.083333333333332 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=20.235 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=16.63 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=13.885 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=12.283333333333333 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=10.143333333333333 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=6.681666666666667 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=5.946666666666667 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=3.1366666666666667 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=2.8383333333333334 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=55.20166666666667 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=45.885 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=45.395 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=42.53333333333333 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=38.08166666666667 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=34.736666666666665 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=33.12166666666666 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=28.57166666666667 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=26.436666666666664 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=24.85 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=24.145000000000003 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=21.965000000000003 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=19.770000000000003 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=18.16166666666667 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=12.09 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=11.081666666666667 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=9.956666666666667 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=9.225 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.475 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=49.80500000000001 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=48.52333333333333 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=46.41166666666666 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=43.875 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=43.20333333333333 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=42.19 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=41.51 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=38.538333333333334 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=36.44166666666667 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=32.50666666666667 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=25.44833333333333 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=22.983333333333334 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=20.493333333333332 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=17.68 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=17.191666666666666 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=15.991666666666667 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=13.756666666666668 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=11.281666666666666 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=9.193333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=57.62666666666667 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=54.97166666666667 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=54.57666666666667 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=46.58833333333334 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=46.038333333333334 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=45.16166666666667 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=43.28333333333334 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=42.615 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=42.123333333333335 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=40.61166666666667 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=39.18000000000001 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=37.12500000000001 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=36.285000000000004 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=32.358333333333334 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=31.545 for stop_idx=15, stops_count=13
[DEBUG] Calculated ride_time=27.23166666666667 for stop_idx=16, stops_count=12
[DEBUG] Calculated ride_time=26.995000000000005 for stop_idx=17, stops_count=11
[DEBUG] Calculated ride_time=25.810000000000002 for stop_idx=18, stops_count=10
[DEBUG] Calculated ride_time=23.910000000000004 for stop_idx=19, stops_count=9
[DEBUG] Calculated ride_time=17.97833333333333 for stop_idx=20, stops_count=8
[DEBUG] Calculated ride_time=15.488333333333333 for stop_idx=21, stops_count=7
[DEBUG] Calculated ride_time=15.193333333333333 for stop_idx=22, stops_count=6
[DEBUG] Calculated ride_time=12.556666666666667 for stop_idx=23, stops_count=5
[DEBUG] Calculated ride_time=10.995000000000001 for stop_idx=24, stops_count=4
[DEBUG] Calculated ride_time=6.433333333333334 for stop_idx=25, stops_count=3
[DEBUG] Calculated ride_time=5.013333333333334 for stop_idx=26, stops_count=2
[DEBUG] Calculated ride_time=59.75166666666666 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=54.91 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=53.18666666666666 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=52.51499999999999 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=50.51166666666666 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=47.26333333333333 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=45.91 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=40.85166666666665 for stop_idx=8, stops_count=17
