[DEBUG] Building metrics for mode B: sol has 4 routes
[DEBUG] Calculated ride_time=57.27499999999999 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=53.48833333333333 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=52.08666666666666 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=51.114999999999995 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=49.849999999999994 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=46.56166666666666 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=45.925 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=42.31 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=40.428333333333335 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=39.205 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=36.32 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=34.535 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=32.37 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=27.701666666666668 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=16.956666666666667 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=15.088333333333335 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=12.013333333333332 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=10.486666666666666 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=6.4366666666666665 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=49.40166666666667 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=48.053333333333335 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=45.61666666666667 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=44.69166666666667 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=41.008333333333326 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=40.16 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=33.74 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=23.808333333333337 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=23.688333333333333 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=19.073333333333338 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=12.138333333333334 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=11.453333333333333 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=6.508333333333333 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=5.653333333333333 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.67 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=58.82333333333334 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=56.723333333333336 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=54.06666666666667 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=53.848333333333336 for stop_idx=4, stops_count=18
