[DEBUG] Building metrics for mode B: sol has 4 routes
[DEBUG] Calculated ride_time=67.54166666666666 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=66.64833333333333 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=64.80166666666666 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=63.593333333333334 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=62.36 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=60.11 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=57.989999999999995 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=56.86333333333333 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=55.33666666666667 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=53.781666666666666 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=47.78999999999999 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=44.246666666666655 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=42.133333333333326 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=40.858333333333334 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=38.00833333333333 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=35.33833333333333 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=31.491666666666664 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=30.30333333333333 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=29.763333333333332 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=27.955 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=27.656666666666666 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=23.875 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=23.189999999999998 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=17.65 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=16.321666666666665 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=13.051666666666666 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=10.1 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=8.278333333333332 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=98.36166666666666 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=96.72499999999998 for stop_idx=2, stops_count=26
