[DEBUG] Building metrics for mode C: sol has 8 routes
[DEBUG] Calculated ride_time=46.67000000000001 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=44.35666666666667 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=41.385000000000005 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=40.68 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=38.64166666666667 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=37.06666666666666 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=35.644999999999996 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=33.79833333333333 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=32.42166666666667 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=29.556666666666665 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=28.83166666666667 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=27.65 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=27.328333333333333 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=22.13666666666667 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=21.9 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=20.715000000000003 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=18.814999999999998 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=17.256666666666668 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=16.443333333333335 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=15.158333333333333 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=12.04 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=10.493333333333334 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=9.65 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=7.971666666666667 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=6.443333333333333 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=51.25166666666667 for stop_idx=1, stops_count=24
[DEBUG] Calculated ride_time=49.705000000000005 for stop_idx=2, stops_count=23
[DEBUG] Calculated ride_time=48.72833333333334 for stop_idx=3, stops_count=22
[DEBUG] Calculated ride_time=43.03166666666667 for stop_idx=4, stops_count=21
[DEBUG] Calculated ride_time=40.935 for stop_idx=5, stops_count=20
[DEBUG] Calculated ride_time=37.75 for stop_idx=6, stops_count=19
[DEBUG] Calculated ride_time=34.373333333333335 for stop_idx=7, stops_count=18
[DEBUG] Calculated ride_time=32.13166666666666 for stop_idx=8, stops_count=17
