[DEBUG] Building metrics for mode B: sol has 10 routes
[DEBUG] Calculated ride_time=59.50333333333333 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=47.555 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=44.86833333333333 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=39.475 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=38.93833333333333 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.70666666666666 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=26.733333333333334 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=21.055 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=18.796666666666667 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=17.181666666666665 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=12.561666666666667 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=8.611666666666666 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=7.523333333333333 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=4.85 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.195 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=56.211666666666666 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=50.986666666666665 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=48.633333333333326 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=43.63833333333333 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=37.331666666666656 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=35.67666666666666 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=31.65 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=27.351666666666663 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=17.603333333333335 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=12.643333333333334 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=8.830000000000002 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=8.316666666666666 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=6.108333333333333 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=4.651666666666667 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.3133333333333335 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=41.47666666666667 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=39.97833333333333 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=34.388333333333335 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=31.540000000000003 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=30.39166666666667 for stop_idx=5, stops_count=11
