[DEBUG] Building metrics for mode C: sol has 10 routes
[DEBUG] Calculated ride_time=48.385 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=45.93333333333333 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=43.63666666666666 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=37.54333333333333 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=33.196666666666665 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=31.123333333333335 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=28.795 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=27.288333333333334 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=26.68333333333333 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=20.14666666666667 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=18.301666666666666 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=17.246666666666666 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=11.135 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=53.13333333333333 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=43.489999999999995 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=41.67999999999999 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=38.959999999999994 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=29.013333333333332 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=18.496666666666666 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=17.171666666666667 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=15.265 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=10.871666666666666 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=8.971666666666668 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=4.991666666666667 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.3133333333333335 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=38.41833333333333 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=35.97833333333333 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=35.21 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=34.73166666666667 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=29.543333333333337 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=27.248333333333335 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=25.503333333333334 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=24.90666666666667 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=15.375 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=13.453333333333333 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=8.251666666666667 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=7.006666666666667 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=2.1016666666666666 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=40.85000000000001 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=38.635000000000005 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=36.935 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=34.81666666666667 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=34.336666666666666 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=27.773333333333333 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=26.21666666666667 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=24.283333333333335 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=18.623333333333335 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=16.733333333333334 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=14.493333333333332 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=8.261666666666667 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=3.896666666666667 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=55.435 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=46.05 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=43.5 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=39.09833333333333 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=35.50833333333333 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=17.955 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=13.19 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=11.498333333333333 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=7.483333333333333 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=6.863333333333333 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=3.8766666666666665 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.283333333333333 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=37.65166666666667 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=36.470000000000006 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=34.42 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=32.571666666666665 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=31.601666666666667 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=28.36166666666667 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=27.06666666666667 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=24.488333333333337 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=21.64 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=19.665 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=11.161666666666665 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=7.365 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=5.82 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.0866666666666664 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=29.82 for stop_idx=1, stops_count=11
[DEBUG] Calculated ride_time=28.201666666666668 for stop_idx=2, stops_count=10
[DEBUG] Calculated ride_time=24.533333333333335 for stop_idx=3, stops_count=9
[DEBUG] Calculated ride_time=19.606666666666666 for stop_idx=4, stops_count=8
