[DEBUG] Building metrics for mode C: sol has 10 routes
[DEBUG] Calculated ride_time=58.99166666666667 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=57.07000000000001 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=44.32666666666667 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=42.800000000000004 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=39.428333333333335 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=35.91666666666666 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=34.86666666666666 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=31.616666666666664 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=27.138333333333332 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=25.621666666666666 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=21.669999999999998 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=18.953333333333333 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=9.231666666666667 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=5.921666666666667 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=4.821666666666666 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=3.0349999999999997 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.06 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=57.359999999999985 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=55.24166666666666 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=54.761666666666656 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=45.08 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=44.31833333333333 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=43.28666666666666 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=39.105 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=30.801666666666662 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=28.991666666666664 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=26.271666666666665 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=23.06833333333333 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=19.404999999999998 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=59.52833333333334 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=52.13 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=51.39833333333333 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=49.00666666666667 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=46.686666666666675 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=39.535000000000004 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=37.35333333333333 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=30.386666666666667 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=24.35 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=22.638333333333332 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=20.753333333333334 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=15.39 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=12.948333333333334 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=10.363333333333333 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.0866666666666664 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=54.57333333333333 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=49.695 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=43.78333333333333 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=42.11 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=40.70666666666667 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=32.82666666666667 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=29.958333333333336 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=24.746666666666666 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=22.553333333333335 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=21.216666666666665 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=18.775 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=12.21 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=9.851666666666667 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=6.778333333333333 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=57.480000000000004 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=55.26833333333333 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=54.29333333333334 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=53.87166666666667 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=53.07000000000001 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=50.83833333333334 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=42.46000000000001 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=39.56833333333334 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=34.686666666666675 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=31.06666666666667 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=28.82 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=27.703333333333333 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=15.34 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=13.548333333333332 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=11.143333333333334 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=8.043333333333333 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=6.955 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=4.153333333333333 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=53.795 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=53.19833333333333 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=51.519999999999996 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=50.28666666666666 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=48.82999999999999 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=42.483333333333334 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=38.38333333333333 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=36.76499999999999 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=33.38166666666667 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=30.47166666666666 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=26.069999999999997 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=24.686666666666664 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=23.936666666666664 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=18.15833333333333 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=15.503333333333334 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=9.563333333333334 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=6.863333333333333 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=4.971666666666667 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=4.333333333333333 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=3.5483333333333333 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=59.58666666666666 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=50.19833333333333 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=43.586666666666666 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=38.11666666666667 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=36.568333333333335 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=33.73666666666667 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=32.413333333333334 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=29.40833333333333 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=28.076666666666668 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=27.256666666666668 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=24.226666666666667 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=18.458333333333336 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=12.676666666666666 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=10.126666666666667 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=2.1016666666666666 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=58.95166666666666 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=57.696666666666665 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=52.73166666666666 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=47.574999999999996 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=41.23166666666666 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=38.49166666666667 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=35.42 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=32.17 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=28.813333333333333 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=27.71666666666667 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=21.025 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=10.858333333333333 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=5.416666666666666 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.7449999999999997 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=56.09 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=53.43 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=48.199999999999996 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=45.748333333333335 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=39.93 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=35.43666666666667 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=34.605 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=30.2 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=26.44 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=24.465 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=22.903333333333336 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=16.436666666666667 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=14.855 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=11.920000000000002 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=11.3 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=8.218333333333334 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=6.318333333333333 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=4.85 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=2.8433333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.75666666666667 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=54.565000000000005 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=51.35666666666667 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=42.595 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=40.515 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.0 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=35.19 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=33.86333333333333 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=30.933333333333337 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=29.046666666666667 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=27.865000000000002 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=25.815 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=23.156666666666666 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=20.828333333333333 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=15.078333333333335 for stop_idx=15, stops_count=2
