[DEBUG] Building metrics for mode B: sol has 4 routes
[DEBUG] Calculated ride_time=82.80166666666668 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=77.03833333333334 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=71.695 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=69.17333333333333 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=61.77666666666666 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=59.301666666666655 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=50.434999999999995 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=49.541666666666664 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=47.69499999999999 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=46.486666666666665 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=45.36333333333333 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=43.221666666666664 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=41.10166666666666 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=39.974999999999994 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=38.44833333333333 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=36.89333333333333 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=36.28666666666666 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=26.709999999999994 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=23.90333333333333 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=21.053333333333335 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=18.060000000000002 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=15.895 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=12.401666666666666 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=11.213333333333333 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=10.673333333333332 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=8.864999999999998 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=8.566666666666666 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=3.67 for stop_idx=28, stops_count=2
[DEBUG] Calculated ride_time=82.05333333333331 for stop_idx=1, stops_count=25
[DEBUG] Calculated ride_time=79.95333333333332 for stop_idx=2, stops_count=24
[DEBUG] Calculated ride_time=77.16166666666666 for stop_idx=3, stops_count=23
[DEBUG] Calculated ride_time=76.31333333333332 for stop_idx=4, stops_count=22
[DEBUG] Calculated ride_time=72.11999999999999 for stop_idx=5, stops_count=21
[DEBUG] Calculated ride_time=66.68666666666665 for stop_idx=6, stops_count=20
[DEBUG] Calculated ride_time=64.22166666666665 for stop_idx=7, stops_count=19
[DEBUG] Calculated ride_time=62.541666666666664 for stop_idx=8, stops_count=18
[DEBUG] Calculated ride_time=50.155 for stop_idx=9, stops_count=17
[DEBUG] Calculated ride_time=46.833333333333336 for stop_idx=10, stops_count=16
[DEBUG] Calculated ride_time=45.275 for stop_idx=11, stops_count=15
[DEBUG] Calculated ride_time=43.406666666666666 for stop_idx=12, stops_count=14
[DEBUG] Calculated ride_time=39.63166666666667 for stop_idx=13, stops_count=13
[DEBUG] Calculated ride_time=37.485 for stop_idx=14, stops_count=12
[DEBUG] Calculated ride_time=31.050000000000004 for stop_idx=15, stops_count=11
[DEBUG] Calculated ride_time=28.936666666666667 for stop_idx=16, stops_count=10
[DEBUG] Calculated ride_time=27.964999999999996 for stop_idx=17, stops_count=9
[DEBUG] Calculated ride_time=26.699999999999996 for stop_idx=18, stops_count=8
[DEBUG] Calculated ride_time=23.411666666666665 for stop_idx=19, stops_count=7
[DEBUG] Calculated ride_time=22.775 for stop_idx=20, stops_count=6
[DEBUG] Calculated ride_time=18.351666666666667 for stop_idx=21, stops_count=5
[DEBUG] Calculated ride_time=17.07 for stop_idx=22, stops_count=4
[DEBUG] Calculated ride_time=14.958333333333332 for stop_idx=23, stops_count=3
[DEBUG] Calculated ride_time=10.014999999999999 for stop_idx=24, stops_count=2
[DEBUG] Calculated ride_time=86.07 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=84.695 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=82.95833333333333 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=79.90333333333332 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=77.22166666666666 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=72.28833333333334 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=69.37333333333333 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=65.70666666666666 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=64.55666666666667 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=62.025 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=56.81999999999999 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=54.84166666666666 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=45.699999999999996 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=36.50333333333333 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=27.051666666666666 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=17.28666666666667 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=15.788333333333334 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=8.658333333333333 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=7.748333333333333 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=5.088333333333334 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=76.88333333333334 for stop_idx=1, stops_count=29
[DEBUG] Calculated ride_time=75.42833333333334 for stop_idx=2, stops_count=28
[DEBUG] Calculated ride_time=74.20166666666667 for stop_idx=3, stops_count=27
[DEBUG] Calculated ride_time=72.95666666666666 for stop_idx=4, stops_count=26
[DEBUG] Calculated ride_time=69.12 for stop_idx=5, stops_count=25
[DEBUG] Calculated ride_time=68.90166666666667 for stop_idx=6, stops_count=24
[DEBUG] Calculated ride_time=68.275 for stop_idx=7, stops_count=23
[DEBUG] Calculated ride_time=65.43333333333334 for stop_idx=8, stops_count=22
[DEBUG] Calculated ride_time=63.295 for stop_idx=9, stops_count=21
[DEBUG] Calculated ride_time=61.75 for stop_idx=10, stops_count=20
[DEBUG] Calculated ride_time=58.836666666666666 for stop_idx=11, stops_count=19
[DEBUG] Calculated ride_time=55.925 for stop_idx=12, stops_count=18
[DEBUG] Calculated ride_time=47.37166666666666 for stop_idx=13, stops_count=17
[DEBUG] Calculated ride_time=45.093333333333334 for stop_idx=14, stops_count=16
[DEBUG] Calculated ride_time=44.97333333333333 for stop_idx=15, stops_count=15
[DEBUG] Calculated ride_time=41.88666666666666 for stop_idx=16, stops_count=14
[DEBUG] Calculated ride_time=40.535 for stop_idx=17, stops_count=13
[DEBUG] Calculated ride_time=29.58666666666667 for stop_idx=18, stops_count=12
[DEBUG] Calculated ride_time=26.835000000000004 for stop_idx=19, stops_count=11
[DEBUG] Calculated ride_time=25.013333333333335 for stop_idx=20, stops_count=10
[DEBUG] Calculated ride_time=19.62 for stop_idx=21, stops_count=9
[DEBUG] Calculated ride_time=18.935 for stop_idx=22, stops_count=8
[DEBUG] Calculated ride_time=15.466666666666667 for stop_idx=23, stops_count=7
[DEBUG] Calculated ride_time=15.071666666666665 for stop_idx=24, stops_count=6
[DEBUG] Calculated ride_time=12.71 for stop_idx=25, stops_count=5
[DEBUG] Calculated ride_time=8.836666666666666 for stop_idx=26, stops_count=4
[DEBUG] Calculated ride_time=5.51 for stop_idx=27, stops_count=3
[DEBUG] Calculated ride_time=3.1366666666666663 for stop_idx=28, stops_count=2
