[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=74.09590532974288 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=63.96640586840163 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=62.51135434388648 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=56.414502252133815 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=52.23289165517256 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=41.30271484670322 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=39.99928660719239 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=26.911803059451046 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=25.259907270193448 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=24.177263814109967 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=10.45136643477149 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=9.259660615790164 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=6.251135434388648 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=58.218021326395736 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=49.785638634050194 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=47.24528359581991 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=41.79216545092769 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=40.587159343788095 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=39.19328914480101 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=28.430695967125903 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=24.86089862544524 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=20.008953505306987 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=13.122064296952852 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=10.837074791361427 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.351672615884978 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=73.3617294234062 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=70.72029219517303 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=57.622168416905076 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=51.1608884296157 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=41.970389312248564 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=26.012703579951744 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=19.846689989776046 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=12.097942108765778 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=10.672151218198834 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=5.93724863385339 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=3.2984714632518832 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=66.08381174319881 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=65.36293612502037 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=59.39376679958713 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=55.91441141738272 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=47.9102980037336 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=41.35857605696796 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=34.25090206518648 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=26.99160478840069 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=23.74899453541356 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=15.542716741758671 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=7.256637219154142 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=63.500895782862045 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=57.03163562267771 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=51.67693961015671 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=50.80444070697395 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=40.829224588268666 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=34.78557364914909 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=32.99535486304545 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=30.994991524041083 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=16.484377143364448 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=10.493927356877965 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=8.690408282616048 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=4.830664659085015 for stop_idx=12, stops_count=2
