[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.823333333333345 for stop_idx=1, stops_count=27
[DEBUG] Calculated ride_time=58.620000000000005 for stop_idx=2, stops_count=26
[DEBUG] Calculated ride_time=57.96000000000001 for stop_idx=3, stops_count=25
[DEBUG] Calculated ride_time=56.64000000000001 for stop_idx=4, stops_count=24
[DEBUG] Calculated ride_time=56.44666666666667 for stop_idx=5, stops_count=23
[DEBUG] Calculated ride_time=50.76833333333334 for stop_idx=6, stops_count=22
[DEBUG] Calculated ride_time=49.22166666666667 for stop_idx=7, stops_count=21
[DEBUG] Calculated ride_time=47.48500000000001 for stop_idx=8, stops_count=20
[DEBUG] Calculated ride_time=43.62500000000001 for stop_idx=9, stops_count=19
[DEBUG] Calculated ride_time=35.943333333333335 for stop_idx=10, stops_count=18
[DEBUG] Calculated ride_time=31.08833333333334 for stop_idx=11, stops_count=17
[DEBUG] Calculated ride_time=29.72833333333334 for stop_idx=12, stops_count=16
[DEBUG] Calculated ride_time=26.98166666666667 for stop_idx=13, stops_count=15
[DEBUG] Calculated ride_time=25.333333333333336 for stop_idx=14, stops_count=14
[DEBUG] Calculated ride_time=19.726666666666663 for stop_idx=15, stops_count=13
[DEBUG] Calculated ride_time=17.5 for stop_idx=16, stops_count=12
[DEBUG] Calculated ride_time=13.886666666666668 for stop_idx=17, stops_count=11
[DEBUG] Calculated ride_time=11.831666666666667 for stop_idx=18, stops_count=10
[DEBUG] Calculated ride_time=11.143333333333334 for stop_idx=19, stops_count=9
[DEBUG] Calculated ride_time=9.311666666666667 for stop_idx=20, stops_count=8
[DEBUG] Calculated ride_time=8.68 for stop_idx=21, stops_count=7
[DEBUG] Calculated ride_time=7.643333333333334 for stop_idx=22, stops_count=6
[DEBUG] Calculated ride_time=5.965 for stop_idx=23, stops_count=5
[DEBUG] Calculated ride_time=5.545 for stop_idx=24, stops_count=4
[DEBUG] Calculated ride_time=5.093333333333334 for stop_idx=25, stops_count=3
[DEBUG] Calculated ride_time=3.481666666666667 for stop_idx=26, stops_count=2
[DEBUG] Calculated ride_time=58.24166666666667 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=56.438333333333325 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=51.94333333333333 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=48.46666666666666 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=41.18 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=38.35499999999999 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=35.06833333333333 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=33.434999999999995 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=32.84833333333333 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=29.641666666666666 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=25.991666666666667 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=23.268333333333334 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=18.056666666666665 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=14.82 for stop_idx=14, stops_count=8
[DEBUG] Calculated ride_time=11.881666666666668 for stop_idx=15, stops_count=7
[DEBUG] Calculated ride_time=10.48166666666667 for stop_idx=16, stops_count=6
[DEBUG] Calculated ride_time=7.391666666666667 for stop_idx=17, stops_count=5
[DEBUG] Calculated ride_time=4.09 for stop_idx=18, stops_count=4
[DEBUG] Calculated ride_time=3.7066666666666666 for stop_idx=19, stops_count=3
[DEBUG] Calculated ride_time=2.9716666666666667 for stop_idx=20, stops_count=2
[DEBUG] Calculated ride_time=59.84666666666667 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=57.96 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=55.668333333333344 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=51.976666666666674 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=42.47833333333334 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=40.76166666666667 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=39.89666666666667 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=33.875 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=31.898333333333333 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=29.715000000000003 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=25.168333333333337 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=24.195 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=20.200000000000003 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=15.773333333333332 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=14.246666666666664 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=12.795 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=11.923333333333332 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=10.543333333333333 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=9.636666666666667 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=4.085 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=3.6566666666666667 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=3.216666666666667 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=58.21666666666667 for stop_idx=1, stops_count=19
[DEBUG] Calculated ride_time=56.42333333333333 for stop_idx=2, stops_count=18
[DEBUG] Calculated ride_time=49.63 for stop_idx=3, stops_count=17
[DEBUG] Calculated ride_time=44.281666666666666 for stop_idx=4, stops_count=16
[DEBUG] Calculated ride_time=43.42666666666667 for stop_idx=5, stops_count=15
[DEBUG] Calculated ride_time=41.60333333333333 for stop_idx=6, stops_count=14
[DEBUG] Calculated ride_time=36.87166666666667 for stop_idx=7, stops_count=13
[DEBUG] Calculated ride_time=35.33 for stop_idx=8, stops_count=12
[DEBUG] Calculated ride_time=34.303333333333335 for stop_idx=9, stops_count=11
[DEBUG] Calculated ride_time=31.106666666666666 for stop_idx=10, stops_count=10
[DEBUG] Calculated ride_time=28.771666666666665 for stop_idx=11, stops_count=9
[DEBUG] Calculated ride_time=26.431666666666665 for stop_idx=12, stops_count=8
[DEBUG] Calculated ride_time=19.341666666666665 for stop_idx=13, stops_count=7
[DEBUG] Calculated ride_time=18.32833333333333 for stop_idx=14, stops_count=6
[DEBUG] Calculated ride_time=15.191666666666668 for stop_idx=15, stops_count=5
[DEBUG] Calculated ride_time=13.013333333333334 for stop_idx=16, stops_count=4
[DEBUG] Calculated ride_time=8.771666666666667 for stop_idx=17, stops_count=3
[DEBUG] Calculated ride_time=3.8216666666666668 for stop_idx=18, stops_count=2
[DEBUG] Calculated ride_time=59.99 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=57.57 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=53.236666666666665 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=50.86666666666667 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=48.175000000000004 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=41.12166666666667 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=39.875 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=38.50666666666667 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=37.57333333333333 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=31.93666666666667 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=27.060000000000006 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=24.89166666666667 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=15.991666666666665 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=12.748333333333335 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=10.726666666666668 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=7.530000000000001 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=6.738333333333333 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=6.491666666666667 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=5.54 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=4.721666666666667 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=3.6966666666666668 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=3.2483333333333335 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=58.73833333333333 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=57.375 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=53.653333333333336 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=46.92333333333333 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=43.91666666666667 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=43.07666666666667 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=40.46333333333334 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=39.650000000000006 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=29.28166666666667 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=27.560000000000002 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=24.208333333333336 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=21.900000000000002 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=20.610000000000003 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=19.595000000000002 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=18.836666666666666 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=16.525000000000002 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=12.440000000000001 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=10.866666666666667 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=3.3583333333333334 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.48833333333334 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=58.251666666666665 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=57.015 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=56.13166666666667 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=54.885 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=53.235 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=44.86 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=43.805 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=41.321666666666665 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=29.116666666666667 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=24.093333333333334 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=19.01833333333333 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=18.203333333333333 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=11.796666666666667 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=10.82 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=9.826666666666666 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=5.123333333333333 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.458333333333336 for stop_idx=1, stops_count=20
[DEBUG] Calculated ride_time=56.835 for stop_idx=2, stops_count=19
[DEBUG] Calculated ride_time=52.821666666666665 for stop_idx=3, stops_count=18
[DEBUG] Calculated ride_time=49.654999999999994 for stop_idx=4, stops_count=17
[DEBUG] Calculated ride_time=47.67666666666667 for stop_idx=5, stops_count=16
[DEBUG] Calculated ride_time=45.77 for stop_idx=6, stops_count=15
[DEBUG] Calculated ride_time=44.07666666666667 for stop_idx=7, stops_count=14
[DEBUG] Calculated ride_time=39.80166666666667 for stop_idx=8, stops_count=13
[DEBUG] Calculated ride_time=35.775000000000006 for stop_idx=9, stops_count=12
[DEBUG] Calculated ride_time=32.96666666666667 for stop_idx=10, stops_count=11
[DEBUG] Calculated ride_time=28.298333333333332 for stop_idx=11, stops_count=10
[DEBUG] Calculated ride_time=25.733333333333334 for stop_idx=12, stops_count=9
[DEBUG] Calculated ride_time=17.433333333333334 for stop_idx=13, stops_count=8
[DEBUG] Calculated ride_time=14.938333333333333 for stop_idx=14, stops_count=7
[DEBUG] Calculated ride_time=13.9 for stop_idx=15, stops_count=6
[DEBUG] Calculated ride_time=10.389999999999999 for stop_idx=16, stops_count=5
[DEBUG] Calculated ride_time=8.945 for stop_idx=17, stops_count=4
[DEBUG] Calculated ride_time=6.591666666666666 for stop_idx=18, stops_count=3
[DEBUG] Calculated ride_time=5.303333333333333 for stop_idx=19, stops_count=2
[DEBUG] Calculated ride_time=59.344999999999985 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=58.22333333333333 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=49.40833333333333 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=48.458333333333336 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=46.803333333333335 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=43.945 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=37.29666666666667 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=35.135 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=32.63833333333333 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=31.39333333333333 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=25.128333333333334 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=21.281666666666666 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=20.005 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=10.938333333333333 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=4.323333333333333 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=3.19 for stop_idx=16, stops_count=2
