[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=48.035000000000004 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=42.34333333333333 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=40.01 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=39.343333333333334 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=34.47333333333333 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=33.64999999999999 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=32.36666666666666 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=30.20833333333333 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=27.76833333333333 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=27.46333333333333 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=25.891666666666662 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=25.526666666666664 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=23.91166666666666 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=20.395000000000003 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=18.368333333333336 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=16.455000000000002 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=14.008333333333333 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=13.57 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=13.186666666666667 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=10.565 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=7.903333333333332 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=5.616666666666666 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=49.404999999999994 for stop_idx=1, stops_count=15
[DEBUG] Calculated ride_time=46.586666666666666 for stop_idx=2, stops_count=14
[DEBUG] Calculated ride_time=38.59166666666667 for stop_idx=3, stops_count=13
[DEBUG] Calculated ride_time=30.531666666666663 for stop_idx=4, stops_count=12
[DEBUG] Calculated ride_time=29.003333333333334 for stop_idx=5, stops_count=11
[DEBUG] Calculated ride_time=28.31833333333333 for stop_idx=6, stops_count=10
[DEBUG] Calculated ride_time=21.784999999999997 for stop_idx=7, stops_count=9
[DEBUG] Calculated ride_time=21.316666666666666 for stop_idx=8, stops_count=8
[DEBUG] Calculated ride_time=17.84 for stop_idx=9, stops_count=7
[DEBUG] Calculated ride_time=17.611666666666668 for stop_idx=10, stops_count=6
[DEBUG] Calculated ride_time=17.178333333333335 for stop_idx=11, stops_count=5
[DEBUG] Calculated ride_time=4.6466666666666665 for stop_idx=12, stops_count=4
[DEBUG] Calculated ride_time=3.735 for stop_idx=13, stops_count=3
[DEBUG] Calculated ride_time=3.5166666666666666 for stop_idx=14, stops_count=2
[DEBUG] Calculated ride_time=49.595 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=47.795 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=41.776666666666664 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=39.37333333333333 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=29.711666666666666 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=27.826666666666668 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=25.826666666666668 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=17.965 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=14.91 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=14.338333333333331 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=9.674999999999999 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=6.913333333333333 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=45.50166666666666 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=42.216666666666654 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=34.42333333333333 for stop_idx=3, stops_count=14
