[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=80.9833333333333 for stop_idx=1, stops_count=26
[DEBUG] Calculated ride_time=80.18666666666665 for stop_idx=2, stops_count=25
[DEBUG] Calculated ride_time=79.46166666666664 for stop_idx=3, stops_count=24
[DEBUG] Calculated ride_time=78.78499999999998 for stop_idx=4, stops_count=23
[DEBUG] Calculated ride_time=68.11833333333334 for stop_idx=5, stops_count=22
[DEBUG] Calculated ride_time=64.35166666666666 for stop_idx=6, stops_count=21
[DEBUG] Calculated ride_time=62.853333333333325 for stop_idx=7, stops_count=20
[DEBUG] Calculated ride_time=59.301666666666655 for stop_idx=8, stops_count=19
[DEBUG] Calculated ride_time=57.71 for stop_idx=9, stops_count=18
[DEBUG] Calculated ride_time=54.46 for stop_idx=10, stops_count=17
[DEBUG] Calculated ride_time=46.611666666666665 for stop_idx=11, stops_count=16
[DEBUG] Calculated ride_time=44.776666666666664 for stop_idx=12, stops_count=15
[DEBUG] Calculated ride_time=41.30833333333332 for stop_idx=13, stops_count=14
[DEBUG] Calculated ride_time=35.251666666666665 for stop_idx=14, stops_count=13
[DEBUG] Calculated ride_time=33.71 for stop_idx=15, stops_count=12
[DEBUG] Calculated ride_time=27.800000000000004 for stop_idx=16, stops_count=11
[DEBUG] Calculated ride_time=25.915000000000003 for stop_idx=17, stops_count=10
[DEBUG] Calculated ride_time=23.123333333333335 for stop_idx=18, stops_count=9
[DEBUG] Calculated ride_time=12.226666666666667 for stop_idx=19, stops_count=8
[DEBUG] Calculated ride_time=9.22 for stop_idx=20, stops_count=7
[DEBUG] Calculated ride_time=8.528333333333334 for stop_idx=21, stops_count=6
[DEBUG] Calculated ride_time=7.126666666666666 for stop_idx=22, stops_count=5
[DEBUG] Calculated ride_time=4.963333333333333 for stop_idx=23, stops_count=4
[DEBUG] Calculated ride_time=3.678333333333333 for stop_idx=24, stops_count=3
[DEBUG] Calculated ride_time=3.1366666666666663 for stop_idx=25, stops_count=2
[DEBUG] Calculated ride_time=74.93833333333336 for stop_idx=1, stops_count=23
[DEBUG] Calculated ride_time=70.805 for stop_idx=2, stops_count=22
[DEBUG] Calculated ride_time=68.33333333333334 for stop_idx=3, stops_count=21
[DEBUG] Calculated ride_time=67.51 for stop_idx=4, stops_count=20
[DEBUG] Calculated ride_time=65.36166666666668 for stop_idx=5, stops_count=19
[DEBUG] Calculated ride_time=60.03666666666667 for stop_idx=6, stops_count=18
[DEBUG] Calculated ride_time=56.99 for stop_idx=7, stops_count=17
[DEBUG] Calculated ride_time=55.39666666666667 for stop_idx=8, stops_count=16
[DEBUG] Calculated ride_time=49.23 for stop_idx=9, stops_count=15
[DEBUG] Calculated ride_time=48.156666666666666 for stop_idx=10, stops_count=14
[DEBUG] Calculated ride_time=44.73 for stop_idx=11, stops_count=13
[DEBUG] Calculated ride_time=42.556666666666665 for stop_idx=12, stops_count=12
[DEBUG] Calculated ride_time=40.28666666666667 for stop_idx=13, stops_count=11
[DEBUG] Calculated ride_time=38.19166666666666 for stop_idx=14, stops_count=10
[DEBUG] Calculated ride_time=30.211666666666666 for stop_idx=15, stops_count=9
[DEBUG] Calculated ride_time=29.145000000000003 for stop_idx=16, stops_count=8
[DEBUG] Calculated ride_time=26.023333333333333 for stop_idx=17, stops_count=7
[DEBUG] Calculated ride_time=14.415 for stop_idx=18, stops_count=6
[DEBUG] Calculated ride_time=11.813333333333333 for stop_idx=19, stops_count=5
[DEBUG] Calculated ride_time=8.053333333333335 for stop_idx=20, stops_count=4
[DEBUG] Calculated ride_time=6.8950000000000005 for stop_idx=21, stops_count=3
[DEBUG] Calculated ride_time=5.555000000000001 for stop_idx=22, stops_count=2
[DEBUG] Calculated ride_time=72.46166666666669 for stop_idx=1, stops_count=21
[DEBUG] Calculated ride_time=65.53333333333333 for stop_idx=2, stops_count=20
[DEBUG] Calculated ride_time=44.42333333333333 for stop_idx=3, stops_count=19
[DEBUG] Calculated ride_time=42.751666666666665 for stop_idx=4, stops_count=18
[DEBUG] Calculated ride_time=40.39833333333333 for stop_idx=5, stops_count=17
[DEBUG] Calculated ride_time=36.946666666666665 for stop_idx=6, stops_count=16
[DEBUG] Calculated ride_time=36.19333333333333 for stop_idx=7, stops_count=15
[DEBUG] Calculated ride_time=30.378333333333337 for stop_idx=8, stops_count=14
[DEBUG] Calculated ride_time=28.795 for stop_idx=9, stops_count=13
[DEBUG] Calculated ride_time=27.348333333333336 for stop_idx=10, stops_count=12
[DEBUG] Calculated ride_time=23.875 for stop_idx=11, stops_count=11
[DEBUG] Calculated ride_time=21.571666666666665 for stop_idx=12, stops_count=10
[DEBUG] Calculated ride_time=18.615000000000002 for stop_idx=13, stops_count=9
[DEBUG] Calculated ride_time=13.864999999999998 for stop_idx=14, stops_count=8
