[DEBUG] Building metrics for mode B: sol has 10 routes
[DEBUG] Calculated ride_time=59.58500000000001 for stop_idx=1, stops_count=10
[DEBUG] Calculated ride_time=55.395 for stop_idx=2, stops_count=9
[DEBUG] Calculated ride_time=31.373333333333335 for stop_idx=3, stops_count=8
[DEBUG] Calculated ride_time=23.86 for stop_idx=4, stops_count=7
[DEBUG] Calculated ride_time=22.298333333333332 for stop_idx=5, stops_count=6
[DEBUG] Calculated ride_time=18.895 for stop_idx=6, stops_count=5
[DEBUG] Calculated ride_time=17.536666666666665 for stop_idx=7, stops_count=4
[DEBUG] Calculated ride_time=7.215 for stop_idx=8, stops_count=3
[DEBUG] Calculated ride_time=3.896666666666667 for stop_idx=9, stops_count=2
[DEBUG] Calculated ride_time=57.30833333333333 for stop_idx=1, stops_count=7
[DEBUG] Calculated ride_time=49.54666666666667 for stop_idx=2, stops_count=6
[DEBUG] Calculated ride_time=42.34166666666667 for stop_idx=3, stops_count=5
[DEBUG] Calculated ride_time=34.28 for stop_idx=4, stops_count=4
[DEBUG] Calculated ride_time=17.366666666666667 for stop_idx=5, stops_count=3
[DEBUG] Calculated ride_time=8.333333333333334 for stop_idx=6, stops_count=2
[DEBUG] Calculated ride_time=55.699999999999996 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=40.53 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=25.495 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=12.461666666666668 for stop_idx=4, stops_count=2
