cohort,seed,mode,iteration,objective_value,best_objective,students_served,temperature
100,1337,Mode A,10.0,819753.67,819753.67,85.0,817.072807
100,1337,Mode A,20.0,849755.19,849755.19,88.0,667.607972
100,1337,Mode A,30.0,869754.18,869754.18,90.0,545.484319
100,1337,Mode A,40.0,889764.98,889764.98,92.0,445.700404
100,1337,Mode A,50.0,889764.98,889764.98,92.0,364.16968
100,1337,Mode A,60.0,909754.75,909754.75,94.0,297.553143
100,1337,Mode A,70.0,909754.75,909754.75,94.0,243.122581
100,1337,Mode A,80.0,909754.75,909754.75,94.0,198.64885
100,1337,Mode A,90.0,909754.75,909754.75,94.0,162.310574
100,1337,Mode A,100.0,919748.46,919748.46,95.0,132.619556
100,1337,Mode A,110.0,919748.46,919748.46,95.0,108.359833
100,1337,Mode A,120.0,919748.46,919748.46,95.0,88.537873
100,1337,Mode A,130.0,919748.46,919748.46,95.0,72.341888
100,1337,Mode A,140.0,919748.46,919748.46,95.0,59.10859
100,1337,Mode A,150.0,919748.46,919748.46,95.0,48.296021
100,1337,Mode A,160.0,919748.46,919748.46,95.0,39.461366
100,1337,Mode A,170.0,929752.53,929752.53,96.0,32.242809
100,1337,Mode A,180.0,929752.53,929752.53,96.0,26.344722
100,1337,Mode A,190.0,929762.74,929762.74,96.0,21.525556
100,1337,Mode A,200.0,939755.36,939755.36,97.0,17.587947
100,1337,Mode A,210.0,939755.36,939755.36,97.0,14.370633
100,1337,Mode A,220.0,939755.36,939755.36,97.0,11.741853
100,1337,Mode A,230.0,939755.36,939755.36,97.0,9.593949
100,1337,Mode A,240.0,939755.36,939755.36,97.0,7.838955
100,1337,Mode A,250.0,939755.36,939755.36,97.0,6.404997
100,1337,Mode A,260.0,939755.36,939755.36,97.0,5.233349
100,1337,Mode A,270.0,939766.03,939766.03,97.0,4.276027
100,1337,Mode A,280.0,939766.03,939766.03,97.0,3.493825
100,1337,Mode A,290.0,939766.03,939766.03,97.0,2.85471
100,1337,Mode A,300.0,939766.03,939766.03,97.0,2.332506
100,1337,Mode A,310.0,949759.32,949759.32,98.0,1.905827
100,1337,Mode A,320.0,949759.32,949759.32,98.0,1.557199
100,1337,Mode A,330.0,949759.32,949759.32,98.0,1.272345
100,1337,Mode A,340.0,949759.32,949759.32,98.0,1.039599
100,1337,Mode B,10.0,749779.94,749779.94,78.0,817.072807
100,1337,Mode B,20.0,839795.47,839795.47,87.0,667.607972
100,1337,Mode B,30.0,909777.55,909777.55,94.0,545.484319
100,1337,Mode B,40.0,909802.62,909802.62,94.0,445.700404
100,1337,Mode B,50.0,919801.59,919801.59,95.0,364.16968
100,1337,Mode B,60.0,919801.59,919801.59,95.0,297.553143
100,1337,Mode B,70.0,919801.59,919801.59,95.0,243.122581
100,1337,Mode B,80.0,929789.03,929789.03,96.0,198.64885
100,1337,Mode B,90.0,929789.03,929789.03,96.0,162.310574
100,1337,Mode B,100.0,929789.03,929789.03,96.0,132.619556
100,1337,Mode B,110.0,929789.03,929789.03,96.0,108.359833
100,1337,Mode B,120.0,929789.03,929789.03,96.0,88.537873
100,1337,Mode B,130.0,929789.03,929789.03,96.0,72.341888
100,1337,Mode B,140.0,929789.03,929789.03,96.0,59.10859
100,1337,Mode B,150.0,939785.13,939785.13,97.0,48.296021
100,1337,Mode B,160.0,939785.13,939785.13,97.0,39.461366
100,1337,Mode B,170.0,939785.13,939785.13,97.0,32.242809
100,1337,Mode B,180.0,939785.13,939785.13,97.0,26.344722
100,1337,Mode B,190.0,939785.13,939785.13,97.0,21.525556
100,1337,Mode B,200.0,939795.14,939795.14,97.0,17.587947
100,1337,Mode B,210.0,939795.14,939795.14,97.0,14.370633
100,1337,Mode B,220.0,939795.14,939795.14,97.0,11.741853
100,1337,Mode B,230.0,939795.14,939795.14,97.0,9.593949
